,project_name,Department,"IPA Delivery Confidence Assessment
(A Delivery Confidence Assessment of the project at a fixed point in time, using a five-point scale, Red  Amber/Red  Amber  Amber/Green  Green; definitions in the IPA Annual Report on Major Projects)",Description / Aims,Departmental commentary on actions planned or taken on the IPA RAG rating.,"Project - Start Date
(Latest Approved Start Date)","Project - End Date
(Latest Approved End Date)","Departmental narrative on schedule, including any deviation from planned schedule (if necessary)","2018/19 TOTAL Baseline Łm
(including Non-Government costs)","2018/19 TOTAL Forecast Łm
(including Non-Government costs)",2018/2019 Variance %age,"Whole Life Cost TOTAL Baseline Łm
(including Non-Government costs)","Departmental narrative on  budget/forecast variance for 2018/19
(if variance is more than 5%)",Departmental Narrative on Budgeted Whole Life Costs,Annual Report Category
11,Commercial Capability Expansion Programme,CO,Amber/Red,"The original Commercial Capability Programme successfully established the Government Commercial Organisation (GCO) - a single central employer of several hundred Commercial Specialists (grade 6 and above) for central government departments. The Civil Service Board has endorsed proposals that commercial capability building interventions should be extended to Wider Government Bodies (WGBs),  the Grade 7 commercial professionals within central government and training and accreditation developed and delivered to the Civil Service contract management community. The Commercial Capability Expansion Programme has been established to impact these new target populations deeper within the Civil Service and more broadly across the Public Sector.    ","Amber/Red rating in Q2 due to increased scope of programme, from ~500 to ~30,000 contract managers. Since then, a new strengthened business case has been put forward to account for the expansion. We have also improved delivery plans and are bolstering our stakeholder engagement efforts",01/04/2017,31/03/2020,"The programme end date was originally 31/3/2020 - but was revised to 31/03/2022 following a scope increase in our drive to raise the capability of contract managers across central government. We were originally focussed on the top 500 contract managers, however we are now aiming to impact all c.30,000 contract managers across central government.",Ł6.00,Ł6.20,3%,Ł11.70,Budget variance less than 5%,"In addition to the original Ł11.7m central funding for the programme, departments are contributing further funding to train and accredit all their contract managers. We are currently operating within budgeted whole life costs.",Government Transformation and Service Delivery
12,Common Technology Services,CO,Amber,"Lead the implementation of common technology across government, and by doing so enable civil service transformation and realise better value on IT spend in government. The programme was reset in March 2017 and is now focussed around three core areas:
1. Developing a common approach to common technology: patterns and standards for core technology components, developed in partnership with Departments.
2. Technology delivery to Government Hubs: supporting Government Property Agency with delivery of shared networking infrastructure to the Canary Wharf Hub, including producing a design pattern for future hubs.
3. Networks for government: including operation of the current Public Services Network (PSN) serving over 700 organisations, delivery of Government's future networking approach and helping organisations transition away from existing PSN services which are reaching end of life.","The programme is broadly on track to realise its expected benefits, with one area (GovPrint) requiring extra focus in the coming quarters to achieve greater clarity on its deliverables and benefits.",01/04/2016,31/03/2020,The programme remains on course to be completed on schedule.,Ł8.10,Ł5.20,-36%,Ł43.96,Lower number of staff and contactors working on the programme so costs are lower than baseline.,Reduced scope of programme has led to lower cost against baseline.,Government Transformation and Service Delivery
13,Foxhound Programme,CO,Amber/Green,"Design, development, build and deployment of an IT Shared Service across Government that enables them to work effectively and securely.","The Programme is rated Amber/Green for delivery confidence as the Programme has successfully provisioned Business Case capabilities, both to original and new partners ",01/09/2013,31/03/2019,"The FOXHOUND Programme has transitioned platform services over to the business as usual Service organisation it established, 12 months ahead of the funding schedule set out in the programmes business case. The FOXHOUND Programme is pending formal closure, but a second phase is being stood up to widen further the deployment of the capability. ",Ł26.10,Ł22.70,-13%,Ł126.50,The programme has concluded it's objectives within business case approvals. Total Spend for 18/19 is in line with budget.,"The WLC of the programme remain on track to the business case sums. Total cost of service on-going has increased in line with the incremental uplift in Partner organisations and associated users. However, service budgets are entirely funded by a Burden share agreement with other Government Departments. ",ICT
14,GOV UK Verify,CO,Red,"GOV.UK Verify is the new way to prove who you are online and for public service providers to be assured you are who you say you are. The programme delivered a live service in May 2016, and implementing it across central government services.","Post-Q2, Verify has appointed a new SRO who is tasked with driving the delivery of the programme. Various actions being undertaken to address the IPA Delivery Confidence Assessment.",01/04/2012,31/03/2020,The programme has revised plans to deliver on schedule which are being validated with HMT/IPA.,Ł30.00,Ł30.00,0%,Ł209.60,Budget variance less than 5%,Whole life costs lower than baseline due to lower volumes of citizen verification.,ICT
15,Government as a Platform,CO,Amber,Deliver cross-government technology platforms to cut costs and improve productivity by providing common components and accelerate business transformation in government.     ,"GDS continues to make good progress against the outcomes of the programme. Adoption of GDS GaaP services remains above target, and a solid pipeline of future services to onboard in the coming quarters has also been constructed.",31/12/2015,31/03/2020,The project remains on track to complete to the current schedule ,Ł20.00,Ł15.80,-21%,Ł90.00,Programme has concentrated on optimising its current products and has not used resources for developing new products so costs are lower than baseline. ,Fewer new GaaP products have been developed over the life of the programme than were envisaged in the original baseline so whole life costs are lower.,ICT
16,Government Hubs Programme,CO,Amber,"The Hubs programme will consolidate and modernise the Governments office estate, creating an office network that supports smarter working and great places to work.",Phase 2 delivery timelines have been reviewed with actions put in place to address schedule delays.,01/05/2015,31/03/2036,Programme as a whole remains on schedule with individual project timelines and programme tranche timelines shifting in line with emerging priorities and challenges.,Ł111.41,Ł111.41,0%,Ł564.10,Budget variance less than 5%,Budgeted whole life costs are aligned to the latest approved PBC and have remained unchanged for 18/19.,Government Transformation and Service Delivery
17,5G Testbeds & Trials ,DCMS,Amber/Red,"DCMS will establish a new national programme of coordinated 5G Testbeds and Trials. This Programme is being delivered from within the Ł740 million of funding for the next generation of digital communications technologies that was announced at Autumn Statement 2016 and will help to create the framework and conditions needed to secure the development and deployment of 5G in the UK, also launching and then coordinating the new national 5G Innovation Network. 
The Programme is intended to help to deliver the Governments ambition of being a world leader in 5G by:
- Help to establish the conditions under which 5G can be deployed in a timely way to drive efficiency and productivity, and maximise the chances of the UK being amongst the leading 5G countries
- Fostering the development of a diverse and varied set of 5G use cases and applications to ensure that the UK and UK businesses are well placed to maximise the  benefits of 5G

The Programme will also Support the implementation of the Governments Future Telecoms Infrastructure review",DCA due to programme initiation delays caused by 5G equipment availability and complex programme setup. Programme has addressed feedback and recommendations from IPA experts and mobilisation of future projects is underway.,28/02/2017,31/03/2021,"The Programme expects to deliver in line with its current schedule. There have been slight initial delays due to later than expected release of 5G equipment in the marketplace, and complex programme setup.",Ł79.15,Ł42.65,-46%,Ł217.05,Underspend in 2018/19 arose due to delays in equipment availability and complex programme setup.,The current spend profile will enable us to deliver the strategic objectives of the Programme,Infrastructure and Construction
18,700 MHz Clearance Programme,DCMS,Amber,"Up to Ł600m has been made available to make the 700 MHz band available for mobile broadband.  The programme consists of the following projects:
1) Infrastructure programme to clear the spectrum  comprising implementing a new transmission frequency plan for Digital Terrestrial Television (DTT) broadcasting, building or modifying broadcast masts and antennas, including over 80 main transmitters, and administering the payment of grants to deliver this infrastructure work.
2) Programme Making Special Events (PMSE) -  putting in place alternative spectrum for the PMSE community and delivering a Help Scheme for current PMSE users impacted by the Programme.
3) Viewer Support - communicating to DTT viewers if they need to retune their TV equipment, and providing support to affected viewers that may need to repoint or replace their aerials.","The Amber RAG is reflective of the impact of the strategic risks materialising i.e national unplanned event/force majeure creates a new protected broadcaster lockdown. To address this, further focus has been on risk management and regular deep dives have been implemented and are being monitored via the Programme Board. ",13/01/2015,01/01/2022,Delivery remains on track. To clear the 700MHz band the programme will make changes to 95 main stations (and 126 relays) by spring 2021,Ł164.30,Ł87.10,-47%,Ł594.92,"Ongoing underspend across all aspects of the 700MHz Programme, this is due to the original budget being set too high.  The infrastructure and support costs continue to be refined as the programme progresses. ",The programme has identified a Ł100m underspend across the Spending Review period of which Ł45m has already been surrendered. ,Infrastructure and Construction
19,Birmingham 2022 Commonwealth Games,DCMS,Amber/Red,"The 2022 Commonwealth Games will be held in Birmingham, from 27 July to 7 August. Birmingham 2022 will showcase Birmingham, the West Midlands and the entire country to the rest of the world as a destination for international trade, education, and world class sport and tourism. The Games will deliver a fully integrated and inclusive para-sport programme. The Government is providing a susbtantial part of the overall funding and will want to ensure succesful delivery, on time and within budget.","A delivery unit to support the Games has been established within DCMS and the Organising Committee for the Games has been set up. Governance structures for the Games have been put in place. The Project was Amber/Red at quarter 2 due to its complexity, profile and budget which was not confirmed.
",21/12/2017,31/03/2023,"The Organising Committee for the Games has been set up and delivery of the capital projects of the Games (village, stadium and aquatics centre) is under way. Delivery is on track.",Exempt under Section 22 of the Freedom of Information Act 2000 (Information intended for future publication),Exempt under Section 22 of the Freedom of Information Act 2000 (Information intended for future publication),Exempt under Section 22 of the Freedom of Information Act 2000 (Information intended for future publication),Exempt under Section 22 of the Freedom of Information Act 2000 (Information intended for future publication),Exempt under Section 22 of Freedom of Information Act 2000 (Information intended for future publication),Exempt under Section 22 of Freedom of Information Act 2000 (Information intended for future publication),Government Transformation and Service Delivery
20,Blythe House Programme,DCMS,Amber,"The objectives of the Blythe House Programme are to ensure that:
1) Blythe House is put to its most efficient and effective use in order to deliver maximum value for money 
2) The Blythe House museums are able to care for their collections in the most efficient and effective way","The Amber DCA recognises that the Programme is dealing with multiple projects of variable pace and levels of risk in relation to their individual storage construction solutions. A staged approval process has seen the Science Museum Group's FBC receive HMT approval in June 2018, followed by approval for the British Museum's and V&A's FBCs by Q1 2019/20.",25/11/2015,31/03/2023,"The construction of new storage facilities and preparation for the removal of collections from Blythe House are on track, with the Science Museum Group, British Museum and V&A all receiving Treasury approval for their projects' Full Business Cases by Q1 of 2019/20. ",Ł88.75,Ł23.50,-74%,Ł338.00,"The baseline figure reflects the original spending profile agreed at the 2015 Spending Review, which was provisional, because the museums had not yet completed their OBCs. With the development of options appraisals and business cases, the profile of expenditure has become clearer, with the majority of construction expenditure now falling in 2019/20 rather than 2018/19. The revised profile was submitted to HM Treasury and agreed as part of the Supplementary Estimates process in February 2019.",The whole life cost total baseline is from the Programme Business Case approved by HM Treasury in June 2016. This will be updated following the successful progression of component project FBCs through the Treasury Approval Point.,Infrastructure and Construction
21,Local Full Fibre Networks,DCMS,Amber/Green,"The Local Full Fibre Networks Programme will stimulate greater commercial investment to deliver faster and more reliable connectivity. Full fibre connections provide speeds in excess of 1 Gigabit per second, low latency and are highly reliable. Greater availability of these networks will enable businesses and individuals to access the connectivity that they need both now and for the future, as well as facilitating the deployment of 5G.        
Benefits include: 
Stimulation of the broadband market
Impact on infrastructure and improvements in the overall network
wider economic, productivity and business / jobs growth.","Good progress continues .The Programme continues to stimulate the market through Wave 1, 2 and 3 which will collectively help meet the manifesto commitment of fibre-spines in 100+ towns and cities and 10 million premises.",01/04/2017,01/12/2021,"Delivery remains on track. The objectives for the year remain ambitious however with robust planning, the Programme expect to deliver to cost and time. ",Ł50.70,Ł58.00,14%,Ł318.70,There was a forecast increase in the Gigabit Voucher Scheme due to fast increase in take up of vouchers (increasing costs in 18/19 and reducing in 19/20).,Budget baselines were amended to reflect changes for the National Gigabit Voucher Scheme and the reallocation of budgets for the Trans Pennine Initiative Project between the 5G Trials & Testbeds and LFFN programmes.,Infrastructure and Construction
22,DEFRA UNITY PROGRAMME,DEFRA,Amber,"UnITy is a multi-year programme to replace ICT services. UnITy will not only update the technology Defra group has access to but also replace the services we receive with a multi-supplier model resulting in more flexible contracts, increasingly modern ICT and financial savings by 2020/21. New services will be common across core Defra, Environment Agency, Rural Payments Agency, Natural England, Marine Management Organisation and the Animal and Plant Health Agency","The programme remains at Amber status  for delivery confidence based on the success to date,  this is supported by the programme governance and reviews. There remains significant risks to the programme due to the inherently complex nature of implementing  into a multi supplier environment, compounded by other departmental change programmes and EU Exit considerations. ",01/11/2014,30/04/2020,The high level plan for UnITy  continues to make significant progress with successfully completing all key service procurements to schedule. In Q2 the programme entered into Implementation phase on all of its service contracts with focus on ensuring technical integration between all services and suppliers  happens as smoothly as possible. Since Q2 all services have transitioned on schedule to new suppliers with focus moving to service transformation plnanning and deployment. ,Ł121.20,Ł159.00,31%,"Ł1,048.40","Variance reflects the latest profile of Programme Run & Investment costs.  In the PBC (baseline) the programme was due to finish in 2018/19 , however to ensure that the financial and non-financial benefits of the programme are delivered after the completion of the procurement phases it will now remain as a dedicated Programme throughout its implementation phase until April 2020. 

 The above variance reflects the reprofiling of  costs with current forecast showing significant investment costs in 2018/19, related to remaning a dedicated programme i.e (Resource (people) costs and New Supplier Implementation Costs)  whereas the PBC (baseline) showed investment costs significantly tailing off in 2018/19. In summary the programme was re profiled and costs aligned to revised programme plan","In total the whole life costs of the programme have not materially changed. Year in Year phasing of costs have been reprofiled resulting in the main variance for 2018/19. 

Also the programme remains on track to deliver above original savings forecast. ",ICT
23,30 Hrs Free Childcare Programme,DFE,Amber/Green,The Government has legislated through the Childcare Act 2016 to introduce an entitlement to 30 hours of free childcare for working parents of 3 and 4 year olds (the extended entitlement).  The extended entitlement will be rolled-out nationally from September 2017 with early implementation in some areas from September 2016 in keeping with commitments made by the Prime Minister.  ,"The programme delivery confidence was Amber/Green at programme closure with  significant progress made addressing recommendations from assurance carried out by the Infrastructure Projects Authority.  Lessons learned have been captured, business as usual (BAU) processes developed and agreed with HMRC. BAU governance arrangements are now established and the service has successfully transitioned into BAU.
Summer 2018 saw performance meet or exceed targets with take up at 83%  and sufficiency of places at 90%. ",11/05/2015,31/03/2018,"The 30 Hours Free Childcare programme was successfully delivered in Sep 2018, with the project completing closure activities: lessons learned, benefits management and transition activities ahead of national rollout.",Ł750.02,Ł750.51,0%,"Ł5,874.92",Budget variance less than 5%,"Following the first time availability of data showing actual take up of offer, baseline costs were revised this quarter. Now that actual data around take up of the offer in the first year of delivery is available, we have revised the underlying assumption around the average hours of childcare taken a week, and this has resulted in an increase in the forecast costs in future years This is primarily due to revised forecasts for the Dedicated Schools Grant (DSG) budget to fund delivery of the 30 hours entitlement in future years. 

It should be noted that delivery of the 30 hours childcare entitlement is a demand-led project and recurring new costs are modelled on what we currently know and understand about the population and estimated take-up of the offer.  We will continue to refine these forecasts as we receive more up-to-date information about take up of the offer.  ",Government Transformation and Service Delivery
