,project_name,Department,"IPA Delivery Confidence Assessment
(A Delivery Confidence Assessment of the project at a fixed point in time, using a five-point scale, Red  Amber/Red  Amber  Amber/Green  Green; definitions in the MPA Annual Report)",Description / Aims,Departmental commentary on actions planned or taken on the IPA RAG rating.,"Project - Start Date
(Latest approved start date)","Project - End Date
(Latest approved end date)","Departmental narrative on schedule, including any deviation from planned schedule (if necessary)","2016/17 TOTAL Baseline Łm
(including Non-Government costs)","2016/17 TOTAL Forecast Łm
(including Non-Government costs)",2016/2017 Variance %age,"Whole Life Cost TOTAL Baseline Łm
(including Non-Government costs)","Departmental narrative on  budget/forecast variance for 2016/17
(if variance is more than 5%)",Departmental Narrative on Budgeted Whole Life Costs
11,Commercial Capability Programme,CO,Amber,"The Commercial Capability Programme will deliver a step change in commercial capability by putting in place the key enablers that will lead to a function which is smaller, aligned with the new functional model for Government, and staffed with professionals who are more capable and confident. To do this we will recruit, retain, develop and grow our own best commercial talent, helping to drive commercial common sense.","The Commercial Capability Programme has been increasingly moving from the design and strategy phase into the implementation and operational phase. Highlights include: HMT endorsement on new terms and conditions for commercial professionals. The assessment of over 250 commercial staff against a new set of professional standards and ongoing design work around central services to recuit, retain and develop staff. Departments are progressing in developing their Commercial Blueprints, which set out their commercial activity and target operating model for their commercial functions, a number are now moving through final approvals and sign off. ",01/01/2015,31/03/2018,On track to deliver key enablers within current scope,Ł6.20,Ł6.20,0%,Ł17.50,Budget variance less than 5%,On track to deliver within budgeted whole life costs
12,FOXHOUND Programme,CO,Amber,"Design, development, build and deployment of an IT Shared Service across Government that enables them to work effectively and securely. ","Key challenge has been to deliver the technology to an increasing number of partners within tighter financial constraints in 16/17 and beyond. The Programme has addressed loss of capacity as a consequence of IR35 legislation changes by recruiting new resources, including more civil servants, and introducing  output based contracts to deliver services.  The Programme has also been developing a Target Operating Model (TOM), allowing development of its business design approach.  The draft TOM was signed off by the Programme Steering Group meaning that business change work could proceed.",01/09/2013,01/07/2018,"The Programme has the challenge of rolling out the technology to an increasing number of partners who also now want the system, within compressed timescales. To keep to the planned schedule, the Programme has increased its focus on building partner delivery and support; the capacity of the Service Centre; and ensuring that specialist technology organisations have been procured where necessary to keep to delivery timescales.",Ł21.75,Ł21.75,0%,Ł189.30,Budget variance less than 5%,"Following the initial stages of Release 1.0 in Feburary, the Full Business Case was approved by HM Treasury and sets out the Whole Life Costs of the programme [Ł190.68m]."
13,Government Office Hubs Programme ,CO,Amber,"The Hubs programme will consolidate the office estate by creating a network of large, cross-government strategic hubs and supporting estate",Programme team capacity improving and standing at 70% resourced by end September 2016.  The structure remains under regular review and operates a flexible pool approach.  Further bid to HR panel for approval to recuit over the coming months.  Stakeholder engagement srengthened with therecruitment of Regional Stakeholder Manager posts.   Work continues to address all recommendations from the recent PAR.,01/05/2015,31/12/2021,"Significantly, in early September a revised and streamlined business case approval process was agreed by TAP and we are rebaselining the programme plan to reflect this and the disbanding of Regional Programme Boards.",Ł55.60,Ł51.90,-7%,"Ł1,076.90","In December 2016  it was highlighted the programme savings appeared to have reduced by Ł650m. This figure was extrapolated from a comparison between GMPP returns submitted in Q2 2015-16 versus Q2 2016-17.Having investigated further, it came to light that there is no significant reduction in the savings being delivered by the programme, and that this had more to do with where the programme was in the delivery life cycle at the time of the report,  which was setting up of the programme before moving into delivery.The figures reported in the 2015-16 Q2 report only detailed the programme set-up costs (Ł7m pa budget approved for programme running costs and no delivery costs) because the hubs strategy and costs & benefits of delivering the hubs had not been detailed at that time.","In Q3 2015-16 whole life costs were included, and a narrative notation confirmed CDEL costs were being included. It also highlighted the CDEL costs would sit with Departments  with the money being released to the programme once specific locality costs had been identified in the differing Hubs and NPC business cases. The above also helps clarify why the figures have changed so dramatically as the 2015-16 Q2 figures only included programme set-up and running costs whereas the figures since 2015-16 Q3 include delivery costs for the Hubs. The programme has reported consistently throughout to ensure that the latest  position is reflected and aligns with communications and updates provided to stakeholders as the programme progresses."
14,GOV.UK Verify,CO,Amber/Green,"GOV.UK Verify is the new way to prove who you are online and for public service providers to be assured you are who you say you are. The programme delivered a live service in May 2016, and implementing it across central government services.","The IPA rated the programmes technical delivery as green, but governments ability to adopt as amber. The programme has developed a targeted commercial plan to rapidly increase adoption and user volumes in 2017/18. This includes providing a new lower level of identity assurance to support departments needs.",01/04/2012,31/03/2020,User volumes have been lower than forecast due to slower than anticipated digital transformation across government. The programme continues to work towards governments target of 25m users by 2020. ,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),"The majority of the programmes budget (~75%) is allocated to payments for identity verification, these are driven by user volumes and commercial negotiations with suppliers. Lower than anticipated user volumes have resulted in reduced spend in 2016/17.","The programmes whole life costs cover the fixed costs of running the programme, and the verification and account maintenance for 25m users. The costs of identity verification are dependent on user volumes and commercial renegotiations with suppliers and contain significant uncertainties."
15,ISSC2,CO,Amber,"ISSC2 will transform back office operations by consolidating transactional services and by sharing HR, procurement, finance and payroll functions and processes, it will deliver more efficient and cost-effective services.The ethos behind this shared services model is to leverage skills and drive economic efficiency. The strategy is driven by the potential for financial savings in high volume, low risk and low complexity, less regulated work and streamlined systems and processes.The procurement phase of the ISSC2 project was completed on 31 October 2013, with 13 individual clients signing contracts with Shared Services Connected Limited (SSCL).SSCL is a joint venture between Steria (75%) and Government (25%) with a 7 year contract, and a 3 year option to extend. It has an ambitious strategy for growth, and signing contracts with the Ministry of Justice (MoJ) and Home Office (HO) represents a key milestone in its continued expansion to achieve its strategy. MoJ and HO joined as SSCL clients in November 2014.As well as delivering Business Process Services (BPS) to its clients, SSCL is also designing, building and implementing a Single Operating Platform (SOP) to further enable the drive towards standardising services offered by SSCL.","SSCL continue to deliver a satisfactory BAU service. Across all customers, 95% of Key Performance Indicators and 99% of Service Level Agreements were passed.  During 2016/17, DEFRA and MoJ have successfully migrated on to the Single Operating Platform (SOP). Plans to manage some transactions offsore have been successufully delivered after passing strigent security snd assurance gateways. In 2017/18 it is anticipated that DWP and Met Police will migrate onto SOP.  Target dateswererevised at the start of the year and have been adhered to. ",28/12/2012,30/04/2015,The delivery schedule has been rephased during 2016/17 and adhered to. Potential options for enhancing the Single Operating Platform to benefit from the changing environment in digital technology services is currently being considered.,Ł5.70,Ł5.70,0%,Ł26.10,Budget variance less than 5%,The whole life costs cover the establishment of the Single Operating Platform.
16,16/17 New Property Model Programme ,CO,Amber,The need to manage assets more commercially and strategically reducing costs through effiecient use of assets with a cross Government perspective.*Incentivising the efficient use of land and property assets*Introducing market rent charges*Providing extra support to departments to help them implement agreed portfolio strategies,All IPA recommendations from last Gateway review have now been addressed and implemented where appropriate.,01/04/2015,01/04/2021,The programme remains on schedule to begin delivery of services in late 2017.,Ł17.90,Ł17.90,0%,Ł94.50,Budget variance less than 5%,The Whole Life Costs for the Programme are budgeted at Ł94.5m. These are made up of Ł22.5m in one-off costs of investment in preparing for and setting up the Government Property Agency. The remainder of Ł72m relates to the recurring new costs of the operation of the Agency.
17,ICT Restructure Programme,CPS,Amber/Green,"Most major ICT contracts for the department expired at the end of November 2015.  This programme has provided for continuity of operations for ICT services for the CPS beyond Nov 2015. Major portions of the main PFI contract with CGI have been extended to end of Mar 2017. The contracts for Print Services and the Networks and Telephony Services have been removed from the PFI deal and procured through relevant frameworks and have commenced on 1 Dec 2015. This programme will manage the necessary procurements, contract agreements, service transitions and transformation.","
The CPS undertook has undertaken a detailed lessons learnt exercise and this will be used to inform subsequent transitions of the COMPASS services.

The change management process has been clarified with all vendors and in particular CGIs role as agency manager.  

Work to plan for post March 2017 including assessing capability and resource gaps is well in train.  ",01/10/2013,31/08/2016,"The programme remains on schedule to deliver its objectives.  To enable the transition of further services away from the PFI deal, the CPS plans to extend the remaining elements of the contract to March 2019.  This will provide sufficient time to procure services such as applications hosting/management, end user computing and unified service desk.  It will also allow sufficient time to build in-house capability in order to in-source SIAM functions and align with interdependent programmes such as the Common Platform Programme.  The CPS has continued to work closely with the Government Digital Service and their Strategic Support Team and has outlined a plan of work to ensure that any necessary spending control approvals are sought and considered in time.  ",Ł21.70,Ł22.00,1%,Ł146.00,Budget variance less than 5%,The programme is continuing to forecast a small increase in one off programme costs for the financial year 16/17. These continue to be more than off set by reduced BAU costs.
18,Blythe House Programme,DCMS,Amber/Red,The Blythe House Programme seeks to unlock national collections that cannot readily be viewed by the public and to care for and preserve them for future generations. The Programme's 3 key objectives:1) To ensure the Blythe House is put to its most efficient and effective use in order to deliver maximum value for money 2) To meet the governments obligation to ensure that the collections currently held at Blythe House are properly stored and cared for 3) To ensure that the Blythe House museums are able to care for their collectionsin the most efficient and effectiveway,"An IPA Gate 0 Review in April 2016 provided an assessment of Amber/Red, reflecting the complexity of the programme and early stage of delivery.",25/11/2015,31/03/2023,"In June 2016, the Blythe House Programme Business Case received approval from HM Treasury to release Ł5.4 million funding. This is supporting the development of Outline Business Cases for the Programmes four constituent projects (three museum storage facility projects and the asset disposal of Blythe House) towards a further Treasury Approval Point in Q1 2016/17.",Ł29.00,Ł16.42,-43%,Ł337.95,Ł5.4 million funding for 2016/17 was approved by HM Treasury in June 2016. The forecast of Ł16.42 million is based on the draft project Outline Business Cases of Spring 2016 and further funding may potentially be spent following the approval of project business cases at the next TAP.,The whole life cost total baseline is from the Programme Business Case approved by HM Treasury in June 2016. This will be refined during the development of component project business cases to FBC stage. 
19,Broadband Delivery Programme,DCMS,Amber/Green,"Phase 1:  Delivering superfast broadband (24Mbs+) to 90% of UK premises by early 2016 and delivering universal standard broadband (2Mbps).  4.1million superfast premises to be covered under Phase 1, delivered through 44 projects, and a small number of joint Rural Community Broadband Projects with DEFRA.Phase 2:  Delivering superfast broadband (24Mbs+) to 95% of UK premises by December 2017, as a continuation of Phase 1 covering c1 million premises.   Combined investment of Ł1.7bn central and local Government plus supplier investment.",An IPA PAR review was undertaken in November 2016 provding the programme with an Amber/Green rating.,06/12/2010,31/12/2020,"The programme reached 90% superfast coverage in April 2016 and is on track to reach 95% superfast coverage by the end of 2017.  Coverage as at March 2017 reported by ThinkBroadband is 92.6%.

",Ł456.10,Ł437.80,-4%,"Ł2,223.90","Budget variance less than 5%
","The cŁ2.2bn whole life cost is made up of cŁ1.7bn public sector funding and the remainder supplier investment. 

Of the Ł1.7bn public sector funding, Ł770m has been provided by BDUK with the remainder being match funding provided by Local Authorities.  "
20,The Tate Modern Project,DCMS,Green,"The New Tate Modern will provide London with a unique public space for a rich collection of international art, combined with educational initiatives for diverse audience groups.  The New Tate Modern will significantly enhance the UK's reputation as a major cultural force in the world. ",Final recommendations have been met and programme has now completed.,01/01/2010,31/12/2016,Programme has now completed,Ł12.90,Ł10.90,-16%,Ł271.00,The final cost is Ł2m lower than Baseline.,The anticipated final cost is Ł269m.
21,700 MHz Clearance Programme,DCMS,Amber,"Up to Ł600m has been made available to make the 700 MHz band available for mobile broadband.  The programme consists of the following projects:1) Infrastructure programme to clear the spectrum  comprising implementing a new transmission frequency plan for Digital Terrestrial Television (DTT) broadcasting, building or modifying broadcast masts and antennas, including over 80 main transmitters, and administering the payment of grants to deliver this infrastructure work.2) Programme Making Special Events (PMSE) -  putting in place alternative spectrum for the PMSE community and delivering a Help Scheme for current PMSE users impacted by the Programme.3) Viewer Support - communicating to DTT viewers if they need to retune their TV equipment, and providing support to affected viewers that may need to repoint or replace their aerials.",The Infrastructure and Projects Authority gave the 700 MHz Spectrum Clearance programme an Amber Delivery confidence rating in June 2016.   This reflected the fact that the programmme was in the start up phase and that the completion date for the programme had not been confirmed.  The programme has now moved into the delivery stage. We have invited IPA to review the programme again later this year. ,13/01/2016,01/01/2022,A plan for accelerated delivery of the programme was  agreed in September 2016. This aims to clear 700MHz spectrum by mid-2020. A review in September 2017 is planned to confirm this accelarated delivery schedule.,Ł71.78,Ł34.12,-52%,Ł594.90,"The financial profiles for the Programme were reprofiled in September 2016. Variances for 2016/17 financial year reflect efficiency savings, re-sheduling and infrastructure re-planning. ",Up to Ł600m has been made available to make the 700 MHz band available for mobile broadband. 
