year;project_number;project_name;department;report_category;description_aims;colour_rating;rating_comment;start_date;end_date;schedule_comment;total_baseline;yearly_forecast;variance_comment;wlc_baseline_incl_NCG;budget_comment
2021;DFT_0024_1516-Q4;A303 Amesbury to Berwick Down;DFT;Infrastructure and Construction;Free-flowing dual carriageway replacing the current single lane on the A303 between Amesbury and Berwick Down including a twin bore tunnel under the majority of the World Heritage Site and a by-pass and viaduct to the north of Winterbourne Stoke.;Amber;"Compared to financial year 19/20-Q2, the Infrastructure Project Authority's Delivery Confidence Assessment rating remained at Amber. This is primarily due to the following factors: The project has been reprofiled to manage impact to schedule and cost estimate arising from delay of DCO Decision from 2 April 2020 to 12 November 2020. This revised baseline was approved by DfT's Investment, Portfolio and Delivery Committee on 22 March 2021.
A legal challenge to the Secretary of State Development Consent Order (DCO) decision has been mounted by the 'Save Stonehenge WHS' group. Should this be successful or result in an appeal or injunction, this could have a significant (> 6 months) impact on key project milestones. Coronavirus is having a minimal impact on the project as suitable IT measures are in place and work progresses. 
Invitation to Participate in Dialogue was issued to three European consortia on 1 May 2020. The competitive dialogue is now well underway and we are working towards contract award in early 2022.";2014-12-01;2033-12-31;Compared to financial year 19/20-Q2, the project's end-date increased from 01 June 2028  to 31 December 2033 . This is primarily due to the following factors: The 1920-Q2 project end date was a legacy approved date, estimated at Strategic Outline Business Case and updated during submission of the Outline Business Case. This has since been revised further to manage schedule and cost impact of the slippage to Development Consent Order decision. The current Open For Traffic date as approved by DfT's Investment, Portfolio and Delivery Committee (IPDC) 22 March 2021 is 31 December 2028. In addition, the change to public finance in March-20, requires a five-year operating window following 'open for traffic' before formally handing the route over to Operations Directorate making the project end date Dec-33.;£30.00;£30.00;The budget variance is less than or equal to 5%. The delay of Development Consent Order (DCO) decision from April 2020 to 12 November 2020 added a six month delay to start of Preliminary Works as work could not be started until a DCO Decision was received. This start of works has been delayed further due to an ongoing Judicial Review into the Secretary of State's DCO decision. Consequently, the majority of the accrued cost will now present in FY21/22 rather than FY20/21. This change is recorded and approved by DfT's Investment, Portfolio and Delivery Committee 22 March 2021.;£1,977.00;Compared to financial year 19/20-Q2, the projects Baseline Whole Life Cost increased from £1919.90m to £1977.00m. This is primarily due to the following factors: Funding Assurance for the project was delayed from October 2019 to March 2020 to coincide with the Chancellor's Budget Announcement regarding Strategic Transport Infrastructure in general, and the A303 Stonehenge Project in particular. This delay, coupled with an initial delay to Development Consent Order (DCO) decision from 2 April 2020 to 17 July 2020, resulted in significant rework to activity already completed, delay to planned activity and commensurate increase of cost as stated above - this was acknowledged by HMT in October 2020. The impact of further delay of the DCO Decision to 12 November 2020 has resulted in a reprofiling of cost due to inflation, which was approved at DfT's Investment, Portfolio and Delivery Committee 22 March 2021.
2021;DFT_0022_1415-Q4;Lower Thames Crossing;DFT;Infrastructure and Construction;"The Lower Thames Crossing (LTC) is a proposed new expressway connecting Kent, Thurrock and Essex through twin bored tunnels under the Thames. It will almost double the road capacity across the River Thames east of London and is the largest single road investment project in the UK since the M25 was completed more than 30 years ago.

As a vital part of the UK's transport infrastructure, it will act as a catalyst for national and local economic growth.  Building a reliable, modern new road that is fit for the future will help connect the nation's busiest ports to the distribution hubs in the North, Midlands and beyond. It will improve network resilience and the performance of the existing crossings at Dartford, transforming the regional and national road network. 

LTC will open up new markets for businesses and create tens of thousands of new jobs and hundreds of apprenticeships during its construction.";Amber;"Compared to financial year 19/20-Q2, the Infrastructure Project Authority's Delivery Confidence Assessment rating remained at Amber. This is primarily due to the following factors: Lower Thames Crossing (LTC) continues to progress well on several fronts. The three tenderers for the Tunnels contract have been announced and contract notices issued for the two Roads contracts.  The programme has successfully transitioned to a separate Highways England Directorate, with its Executive Director reporting directly to the Chief Executive.  A strengthened Client Team has been established with all senior roles in place.  An Integration Partner to support the Programme has been appointed and is currently mobilising.  

Following advice from the Planning Inspectorate (PINS), the Development Consent Order (DCO) application was withdrawn.  There has been significant engagement with key stakeholders including affected local authorities.  A further Public Consultation will commence in Summer with DCO resubmission in late 2021.  The cost and schedule impact of the withdrawal will be finalised during the summer.  

Following an Assurance Action Plan Review the IPA improved its DCA to Amber, which, while reflecting the programme's progress, notes the current DCO position.";2014-05-30;2029-05-31;Compared to financial year 19/20-Q2, the project's end-date increased from 31 July 2028  to 31 May 2029 . This is primarily due to the following factors: A rebaseline exercise was undertaken which was fully externally assured. The project was requested by the Major Projects Review Group (MPRG) and DfT to rebaseline without the constraint of a defined completion date. This aligns with the 'Lessons from transport for the sponsorship of major projects' (2019) which recommends that an evidenced range should be used rather than a single target date. The cost and schedule impact of the withdrawal will be finalised during the summer.;£245.00;£246.30;The budget variance is less than or equal to 5%. ;£6,391.04;Compared to financial year 19/20-Q2, the projects Baseline Whole Life Cost increased from £5692.07m to £6391.04m. This is primarily due to the following factors: The baseline cost increase reflects the maturing and further development of both the design and the associated costs partly driven by the results of ground investigation.  These changes include the need to further mitigate the adverse environmental impacts, most noticeably moving the southern portal to negate risk to the internationally protected wetland south of the River Thames and an increased land requirement.  There was also a re-evaluation of the costs of moving nationally significant infrastructure including high pressure gas mains, high voltage power lines and global banking data lines.   A number of independent reviews were undertaken to assure the updated baseline cost.
2021;DFT_0029_1617-Q1;South West Route Capacity;DFT;Infrastructure and Construction;"The aim of the South West Route Capacity Programme was to deliver increased capacity into and from London Waterloo during the busiest times of the day through:
. Improvements to London Waterloo platforms 1-4 
. The reopening of the Waterloo International Terminal 
. The lengthening of platforms to accommodate 10 carriage trains between Reading, Ascot to London Waterloo station.";Green;Compared to financial year 19/20-Q2, the Infrastructure Project Authority's Delivery Confidence Assessment rating decreased from Amber/Green to Green. This is primarily due to the following factors: The SWRC Programme has successfully delivered all of its milestones enabling the introduction of 10-carriage trains from Reading, Ascot into London Waterloo. This was completed on time, to schedule within agreed budget parameters. The Programme has been given a 'green' assessment and is progressing towards formal closedown in August 2021.;2012-07-16;2021-08-31;Compared to financial year 19/20-Q2, the project's end-date increased from 31 December 2019  to 31 August 2021 . This is primarily due to the following factors: The SWRC Programme has successfully completed all of its delivery milestones on schedule. The end-date was extended to August 2021 to account for internal governance and assurance activities.;£19.20;£19.20;The budget variance is less than or equal to 5%. ;£694.90;Compared to financial year 19/20-Q2, the projects Baseline Whole Life Cost decreased from 817.70m to £694.90m. This is primarily due to the following factors: The SWRC Programme was delivered within the agreed budget. The Baseline Whole Life Cost was reduced as de-scoped items were removed from financial reporting requirements.
2021;DFT_0027_1617-Q1;Midland Main Line Programme;DFT;Infrastructure and Construction;"Key Output 1 (KO1): sixth path into London and electrification from Bedford to Kettering and Corby, enabling environmental benefits, increase in capacity and improved peak long distance journey times.
Key Output 1a (KO1a): infrastructure required to allow new bi-modes (to be introduced on the route) to operate in electric mode with no negative timetable impact.";Amber;"Compared to financial year 19/20-Q2, the Infrastructure Project Authority's Delivery Confidence Assessment rating remained at Amber. This is primarily due to the following factors: KO1: requisite authorisations received and project expected to deliver benefits to revised schedule of May 2021 (delayed from December 2020 due to Covid-19 impact).
KO1a: forecast for full scope currently outside budget. Network Rail pursuing strategic re-evaluation to seek to bring full scope within budget.";2011-01-01;2024-12-31;"Compared to financial year 19/20-Q2, the project's end-date remained scheduled to finish on 31 December  2024  . This is primarily due to the following factors: Final project end dates remain end 2023, with allowance for project completion activities end 2024 remains date.

KO1: requisite authorisations received and project expected to deliver benefits to revised schedule of May 2021 (delayed from December 2020 due to Covid-19 impact).
KO1a: scope currently projected as deliverable for target end 2023.";£152.70;£171.83;The budget variance exceeds 5%. Spend increased in the year due to prolongation costs relating to the impact of Covid-19. Overall risk cost projection has decreased so the total cost of the project is unchanged.;£1,671.20;Compared to financial year 19/20-Q2, the projects Baseline Whole Life Cost remained at £1671.20m. This is primarily due to the following factors: Whole life costs maintained as Key Output 1 projected to complete within budget, work continuing to bring Key Output 1a within budgets allocated.
2021;DFT_0026_1617-Q1;Great Western Route Modernisation (GWRM) including electrification;DFT;Infrastructure and Construction;An extensive programme to modernise existing infrastructure on the Great Western mainline. It has created faster and more reliable services, better stations and increased freight capacity.;Green;Compared to financial year 19/20-Q2, the Infrastructure Project Authority's Delivery Confidence Assessment rating decreased from Amber to Green. This is primarily due to the following factors: GWRM was the subject of an IPA Gateway 5 review in late 2020, which provided a Delivery Confidence Assessment of Green. The review team stated that they believe the programme should close, which is planned for Summer 2021.;2011-12-01;2024-12-31;"Compared to financial year 19/20-Q2, the project's end-date remained scheduled to finish on 31 December  2024  . This is primarily due to the following factors: There has been no change to the schedule since the 2020 IPA Annual Report.

GWRM is a programme of works, including projects that will continue beyond the end of the programme.";£176.40;£93.59;"The budget variance exceeds 5%. The primary cause of the variance is an in-year underspend on Great Western electrification. This includes movement of contingency into later years, and slippage of work into 21/22 caused by delays to completing inspections of sites, including due to COVID requirements.

Additionally, the Reading Independent Feeder and Bristol East Junction projects are delivering later in Control Period 6 (2019 to 2024) than at the point the baseline was set.";£5,153.00;"Compared to financial year 19/20-Q2, the projects Baseline Whole Life Cost increased from £5007.00m to £5153.00m. This is primarily due to the following factors: Great Western electrification secured additional funding in early 2020 for the purpose of closing out the programme. The baseline is expected to reduce over the coming months, where electrification risks have not materialised and therefore do not require the allocated funding, 

As the programme closes, the baseline will reduce further as projects complete, or continue as individual projects, and any associated project risks do not materialise in the GWRM baseline."
2021;DFT_0031_1819-Q1;A428 Black Cat to Caxton Gibbet;DFT;Infrastructure and Construction;The scheme provides a new off-line two lane dual carriageway between Black Cat roundabout on the A1 in Bedfordshire and Caxton Gibbet roundabout on the A428 in Cambridgeshire.;Amber/Green;Compared to financial year 19/20-Q2, the Infrastructure Project Authority's Delivery Confidence Assessment rating remained at Amber/Green. This is primarily due to the following factors: With the projects submission and acceptance of the Development Consent Order (DCO), and now working with the Delivery Integration Partners under the Regional Delivery Partnership Framework (RDP) contract, the project can further develop it's delivery schedule. This will in turn inform the development of the Full Business Case.;2015-04-01;2025-04-01;"Compared to financial year 19/20-Q2, the project's end-date remained scheduled to finish on 01 April  2025  . This is primarily due to the following factors: The A428 Black Cat to Caxton Gibbet Improvement project is currently in the development phase. Statutory Consultation (Jun-Jul 2019) and a supplementary non-statutory consultation (Jun-Jul 2020) have been completed, and the Development Consent Order (DCO) submission was made at the end of February 2021. The DCO Acceptance was received on 24 March 2021.  A detailed DCO examination timetable will be issued by the Planning Inspectorate (PINS) in Q1 2021/22. The examination timetable will be incorporated into a formal re-baselining later in the summer (Q2 2021/22).  The formal re-baselining will provide an update to both the Open for Traffic date and the project end date. 

There continues to be strong stakeholder support and interest for this project demonstrated by the results from Statutory Consultation and from feedback received at the events themselves. Subsequent engagements via community forums and technical working groups continues to demonstrate support for the project.";£25.00;£25.00;The budget variance is less than or equal to 5%. The project was required to carry out additional consultation ahead of progressing to the Development Consent Order process. The budget variance was due to a delay in completion of the preliminary design stage required to accommodate the results of the additional consultation.;£812.50;Compared to financial year 19/20-Q2, the projects Baseline Whole Life Cost increased from £809.98m to £812.50m. This is primarily due to the following factors: The Budget Whole Life Cost has followed a central estimate which matures throughout the scheme budget setting process and continues to mature whilst we execute contracts with our delivery partners. Throughout the Development Consent Order process and Detailed Design stage the central estimate will continue to be developed and the forecast costs for construction will be assured further. These changes include changes in non recoverable VAT assessment. A revised Central Estimate will feed into the Full Business Case and account for all project costs and risks.
2021;DFT_0033_1819-Q1;East Coast Mainline Programme;DFT;Infrastructure and Construction;The East Coast Main Line Enhancement Programme is a collection of track and power upgrade schemes between London King's Cross and Edinburgh to increase capacity and to enable the introduction of the Intercity Express trains through the East Coast franchise.;Amber;Compared to financial year 19/20-Q2, the Infrastructure Project Authority's Delivery Confidence Assessment rating remained at Amber. This is primarily due to the following factors: Although good progress has been made with the delivery of the infrastructure upgrades, the project's Amber rating reflects the challenging schedule for developing the new East Coast Main Line timetable for introduction in May 2022.  The Department is working with Network Rail and operating companies to agree pragmatic solutions and trade-offs to deliver the best outcomes for passengers and freight customers.;2014-04-01;2024-12-01;Compared to financial year 19/20-Q2, the project's end-date increased from 01 December 2023  to 01 December 2024 . This is primarily due to the following factors: The major milestone of timetable upgrade to reflect new paths/capacity was delayed from December 2021 due to the COVID lockdown leading to delays in infrastructure work.   In addition, power supply upgrades north of Newcastle are not forecast to be completed until 2024 because the tender prices received for the works were higher than expected and further negotiations were needed, delaying the award of the contract. Operational mitigations will enable the new timetable to be introduced, improving passenger services, before the power upgrades are completed.;£224.90;£197.70;The budget variance exceeds 5%. The delay in awarding the contract for power supply upgrades resulted in costs moving out of 2020/21 into subsequent years.;£1,040.40;Compared to financial year 19/20-Q2, the projects Baseline Whole Life Cost remained at £1040.40m. This is primarily due to the following factors: The baseline whole life cost for the project has not changed.
2021;DFT_0034_1920-Q2;A12 Chelmsford to A120 widening;DFT;Infrastructure and Construction;Widening the A12 to three lanes between junction 19 (north of Chelmsford) and junction 25 (A120 interchange).;Amber/Green;"Compared to financial year 19/20-Q2, the Infrastructure Project Authority's Delivery Confidence Assessment rating decreased from Amber to Amber/Green. This is primarily due to the following factors: Since 2019/20-Q2 there has been a reduction in the uncertainty which had previously slowed the project's progression. The Local Authorities decision to withdraw the Colchester Braintree Borders Garden Community proposals following the Planning inspectors recommendation in May 2020 allowed the project to proceed with a clear preferred route between Junction 23 and 25, which was announced in August 2020.

There has also been development in the technical design aspects of the project, detailed engagement with key stakeholders and improved commercial alignment which has enabled the project to reduce or mitigate some significant risks on the project. Since 2019/20-Q2, costs and benefits have remained stable, however there continues to be pressure on the schedule which needs to be monitored.";2015-04-01;2028-08-31;Compared to financial year 19/20-Q2, the project's end-date increased from 01 May 2028  to 31 August 2028 . This is primarily due to the following factors: Since 2019/20-Q2, the project schedule has been adjusted, to reflect an approved baseline position of August 2028 for the project end date, and a current forecasted project end date of October 2028. This schedule change has been caused by a delay in a decision being reached regarding the proposed Colchester Braintree Borders Garden Community which introduced uncertainty into the schedule, and investment of time in achieving commercial alignment with significant progress in the period. While the forecasted project end date is October 2028, the current forecast date for the road to be opened to traffic following improvements is Autumn 2027, and this is when benefits will be realised.;£26.81;£32.19;The budget variance exceeds 5%. Controlled acceleration was agreed in August 2020 to bring survey activity forward and progress with preliminary design work. This will better inform the Development Consent Order and assist in the management of risk.;£1,044.76;"Compared to financial year 19/20-Q2, the projects Baseline Whole Life Cost decreased from 1145.37m to £1044.76m. This is primarily due to the following factors: The Whole Life Cost of the project has reduced by £101m. 

 -  Value engineering work has been undertaken, reducing the whole life costs. Value engineering outputs included a reduction in the volume of earthworks required, rationalisation of environmental mitigation measures and a shorter construction duration.
 - A revised inflation profile has been implemented, reducing the whole life cost
 - The project has also assessed the proposed procurement route - Regional Delivery Partnerships - which is expected to maximise delivery efficiencies and maximise benefits opportunities."
2021;DFT_0035_1920-Q3;Western Rail Link to Heathrow;DFT;Infrastructure and Construction;The Western Rail Link to Heathrow (WRLtH) is a proposed new rail link between Langley Station on the GWML and Heathrow Airport Terminal 5. It would speed up journeys to Britain's busiest airport by allowing passengers from the west of England and Wales to travel to the airport without going into London Paddington. Government support for the scheme is subject to the agreement of a satisfactory business case and an acceptable financial contribution from Heathrow Airport Limited.;The project is not in a position to provide this information;The project is not in a position to provide this information;The project is not in a position to provide this information;The project is not in a position to provide this information;The project is not in a position to provide this information;The project is not in a position to provide this information;The project is not in a position to provide this information;The project is not in a position to provide this information;The project is not in a position to provide this information;The project is not in a position to provide this information
2021;DFT_0037_1920-Q3;Transpennine Route Upgrade;DFT;Infrastructure and Construction;The TRU programme will deliver journey time improvements, additional services, increased passenger capacity, enhanced performance and reliability and improved environmental performance to the main rail link across the Pennines between Manchester and York via Huddersfield and Leeds.;Amber;"The Infrastructure Project Authority's Delivery Confidence Assessment rating is Amber.This is primarily due to the following factors: The IPA Gateway 2 review was held in January 2021 and concluded an Amber rating, this indicates the programme is in a good place with no major obstacles to progress. Recommendations from the Gateway 2 review have been accepted and responses are being developed and implemented, alongside those received from other external assurance activities.

The single biggest issue on the programme is the lack of an agreed end-state and evolving priorities and requirements. This needs to be resolved through a Programme Business Case alongside the Integrated Rail Plan for the North, which will enable leadership to stabilise the programme, and focus management attention onto efficient and effective delivery.";2017-07-01;2028-07-31;The project end-date is 31 July 2028. This is primarily due to the following factors: The Transpennine Route Upgrade is currently on track to deliver against its baseline schedule. At the next investment decision the project scope will be confirmed. If options for increased scope, enabling greater benefits, are selected the programme end date will extend to accommodate this.;£253.00;£239.00;The budget variance exceeds 5%. In-year spend forecast total is £14m less than baseline total (-6% variance) due to achieved efficiencies and delay in delivery of some scope.;£3,506.00;"The projects Baseline Whole Life Cost is £3506.00m. This is primarily due to the following factors: TRU has secured design funding through Outline Business Case (April 2020) for a scheme known as Option C (costs reported above). Additional funding was secured for development of two further options with increased scope. The choice between these, and the associated whole life project cost, will be informed by the outcome of the Integrated Rail Plan for the North and confirmed through a Programme Business Case this summer.

NB: Programme GMPP baseline is £3.5-3.9bn for Option C in line with April 2020 Outline Business Case."
2021;DFT_0038_1920-Q4;East Coast Digital Programme;DFT;Infrastructure and Construction;"The programme is seeking to bring about transformation through the introduction of digital technologies such as the European Train Control System; replacing conventional signalling with digital signalling on the East Coast Mainline South. This is the first mainline deployment of digital signalling and a critical pathfinder in the strategy to roll-out this technology across the whole rail network to provide a range of benefits such as increasing performance and lowering whole life costs.";Amber;The Infrastructure Project Authority's Delivery Confidence Assessment rating is Amber.This is primarily due to the following factors: The Department has a plan in place to address the resourcing issue and increase overall resourcing as the programme moves towards Full Business Case (FBC) submission and delivery. As the FBC is finalised, this will provide greater clarity about the migration strategy and costs and risks associated with the programme which will provide assurance on the programme schedule. Additionally, early works on the Northern City Line will test the programme partnership approach. The Department is working closely with Network Rail to ensure that the national enabler projects meet the requirements of the programme critical path. These will give us greater confidence in the deliverability of this programme.;2017-05-01;2029-12-31;"The project end-date is 31 December 2029. This is primarily due to the following factors: This is a challenging project to retrofit digital signalling control systems to a highspeed mixed use line with a number of complex interfaces. Network Rail are taking forward this programme in a new way including through its approach to procurement and the establishment of a cross-industry board. Train fitment was deliberately started early to expose risks and challenges so that they can be tackled in time. Significant risks and challenges do remain, such as the national enabler projects.
The Department, Network Rail and suppliers are working to resolve these so that they do not impact on the delivery of the programme. The planned schedule has been confirmed and is undergoing the proper assurance process as we finalise FBC. At this stage, we are confident that the programme partnership model and early industry engagement has delivered tangible results and, with the programme float reinstated, the programme can deliver to time and budget.";£120.52;£61.91;The budget variance exceeds 5%. At Outline Business Case (OBC), the First in Class Freight Fitment programme and the Rail Innovation & Development Centre project, which are enabler projects, were included in programme life costs. They have since been reprofiled and are now reported through Network Rail's Digital Railway programme, meaning they are not included in the forecast estimate. The variance also reflects some movement in infrastructure costs between years and increasing certainty in cost category expenditure amounts. Costs will become even more certain as the programme progresses to FBC and will be adjusted to reflect external funding pressures eg. Spending Review.;£2,403.29;The projects Baseline Whole Life Cost is £2403.29m. This is primarily due to the following factors: The overall total Whole Life Cost (including inflation) between Control Period 6 (CP6) and Control Period 12 (CP12) for the East Coast Digital Programme is estimated to be between £2.98bn and £3.45bn in nominal figure including optimism bias. CP6/7 costs are estimated to be in the range of £1.2 - 1.9bn. These figures have been taken from the OBC Business Case. The forecast will be confirmed and refreshed at FBC.
2021;DFT_0039_2021-Q1;Brighton Mainline Upgrade Programme;DFT;Infrastructure and Construction;The BMU Programme comprises a series of infrastructure enhancements, the most significant of which is the Croydon Area Remodelling Scheme (CARS), which aims to resolve one of the most restrictive bottlenecks on the UK rail network. Currently, all trains travelling up the Brighton Main Line to either London Victoria or London Bridge and the Thameslink route through the city must pass through East Croydon station and the flat, partially grade separated junction at the Selhurst triangle north of East Croydon. This constraint imposes inefficient train pathing and operations. Trains waiting in stations are held at red signals across the area, waiting to pass through the junction, leading to high levels of delays and impacting services. CARS is the largest element of the programme and delivers the bulk of overall benefits. However, other schemes including Horsham crossover, Reigate 12-car and Gatwick area track layout also provide benefits within the wider Programme.;Amber/red;"The Infrastructure Project Authority's Delivery Confidence Assessment rating is Amber/red.This is primarily due to the following factors: The Brighton Mainline Upgrade Programme is at early stages of development. The Outline Business Case (OBC) is yet to be finalised and progressed. Further timetable development and performance analysis is required before the scheme can make further significant progress, and a plan to deliver this has been jointly developed between Network Rail (NR), the Department and Govia Thameslink Railway. Future demand due to Covid-19 is uncertain at this stage and the scheme requires time to understand this further before finalising and submitting an OBC. 
On this basis the project DCA assessment is currently evaluated at amber/red. The Department and NR have developed a revised approach for the scheme in light of recent work and the emerging demand picture. This revised approach is making progress in moving the Programme forward.";2015-06-01;2040-05-01;The project end-date is 01 May 2040. This is primarily due to the following factors: As set out above, a range of factors are creating uncertainty and we are also investigating more efficient and accelerated opportunities for delivery. In addition, confirmed funding for railway enhancements is only available until March 2024 and is subject to investment decisions and Ministerial prioritisation. Therefore, the above programme end date is highly indicative.;£32.00;£24.50;The budget variance exceeds 5%. Programme spend was reduced following the 2020 Spending Review and ongoing passenger demand uncertainty. In addition, an IPA Review identified various opportunities to improve the efficiency, value for money and passenger benefits of the scheme. In response a revised programme of works was developed that responded to the IPA's recommendations and sought to provide us with a better understanding of passenger demand uncertainty. Significant technical engineering development that was planned for 2020/21 was therefore deferred.;£3,995.34;The projects Baseline Whole Life Cost is £3995.34m. This is primarily due to the following factors: The anticipated final cost is indicative and based on an Interim Technical Report. We are pursuing opportunities to reduce the schedule via Project SPEED (led by Network Rail), which identifies a variety of programme/cost savings which can be delivered via greater use of extended possessions and blockades. Options are still being explored and there is still substantial work to complete before any solutions are considered for implementation.
2021;DFT_0040_2021-Q1;HS2 Phase1;DFT;Infrastructure and Construction;HS2 will form the backbone of the UK's transport network, connecting eight out of ten of Britain's largest cities. By making it easier to move between the North, Midlands and South, cutting many journeys by half, HS2 will make it easier for people to live and work where they want.;Amber/red;"The Infrastructure Project Authority's Delivery Confidence Assessment rating is Amber/red.This is primarily due to the following factors: Activity since the last IPA RAG rating includes:

- In April 2020, the Government approved the Full Business Case for Phase One and agreed a revised funding regime and governance arrangements to take the programme forward. This permitted Main Works Civils Contractors to begin construction of Phase One.

This year's key achievements include:
.            progressing the remaining enabling works and mobilising main civil construction for Phase One while employing COVID-safe working practices
.	achieving consolidation point for Old Oak Common station allowing construction to commence
.            evolving our approach to community engagement, including an enhanced complaints procedure to address concerns about how HS2's impact on communities along the line of route are managed
.            implementation of over a quarter of the proposed reforms recommended by the Land and Property Review of November 2020 
.            establishing HS2 Ltd's Environmental Sustainability Committee to limit and mitigate the environmental impacts from the construction of the railway";2009-01-14;2029-11-30;"The project end-date is 30 November 2029. This is primarily due to the following factors: The target for delivery-into-service of Birmingham Curzon Street to London Old Oak Common remains 2029 to 2033, as set out last year in the Full Business Case. However, as the most recent Parliamentary update on progress stated, some schedule pressures on Phase One have emerged from delays in the period of handover of enabling to main works, including:
.issues with completing utilities diversions
.postponed land acquisition and access during the first COVID-19 lockdown
.slower than planned development of detailed designs by the main works contractors
Further cost pressures could emerge if mitigation activity is required to remain on schedule. HS2 Ltd is currently undertaking a schedule mitigation exercise on Phase One, this is due to conclude by Q2 21/22. Work to identify affordable design and delivery arrangements for Euston station is underway.";£3,498.00;£3,498.00;The budget variance is less than or equal to 5%. ;£40,295.00;"The projects Baseline Whole Life Cost is £40295.00m. This is primarily due to the following factors: HS2 Ltd continues to report the anticipated final cost at £40.3bn. The total Funding Envelope for Phase 1, including contingency, stands at £44.6bn. As delivery progresses, cost pressures are emerging on the point estimate as risk materialises and these are expected to be managed from within existing contingency delegations. HS2 Ltd continues to assess the impact of COVID on the programme and validated costs incurred will require a draw on Government-held contingency. 

DfT does not report on the Whole Life Costs of the project as they do not reflect the true up-front capital costs of building the railway."
2021;DFT_0041_2021-Q1;HS2 Phase2a;DFT;Infrastructure and Construction;HS2 will form the backbone of the UK's transport network, connecting eight out of ten of Britain's largest cities. By making it easier to move between the North, Midlands and South, cutting many journeys by half, HS2 will make it easier for people to live and work where they want.;Amber;"The Infrastructure Project Authority's Delivery Confidence Assessment rating is Amber.This is primarily due to the following factors: There has been substantial progress on the HS2 Phase 2a programme since a Red Team Review, facilitated by the Infrastructure and Projects Authority (IPA), was held in August 2020 and HS2 Ltd were asked to do more substantial work on refining the proposal for a different delivery model than that of Phase One, centred on a Design and Delivery Partner (DDP) and smaller Main Civils Works packages.

Following the last IPA Review held on the 11-14 January 2021, Phase 2a was rated as Amber. Additional engagement with IPA, Treasury and Cabinet Office led to an endorsement of the principles of the delivery model; further scrutiny is planned ahead of the release of the Invitation To Tender (ITT) for the DDP in the summer to ensure the model is as robust as possible.

Phase 2a will return to MPRG in 2023 to set both the Target Cost and Target Delivery into Service in parallel to Full Business Case approval.";2014-03-17;2027-12-31;The project end-date is 31 December 2027. This is primarily due to the following factors: The Phase 2a cost and schedule range reset have been agreed by both the DfT's Investment Portfolio and Delivery Committee (IPDC) and the Major Projects Review Group (MPRG). The revised schedule range is now 2030-2034. [subject to Treasury approval - expected by end of May] The schedule ranges have now been set with the same level of schedule contingency as the ranges on Phase One, and aligns to the cost contingency.;£0.00;£159.00;The GMPP project did not provide data;£0.00;"The current WLC cost status for Phase 2a is displayed as 'zero'. Assurances on Baseline 2 have now been completed and the cost range stands at £5.2bn - £7.2bn (2019 values), as agreed by MPRG and subject to Treasury approval, and is broadly consistent to those published in early 2020. The Target Cost for HS2 Ltd for Phase 2a is expected to be set in 2023. 

As reported in Q4 2020-21, the forecast for Phase 2a has been placed at £6bn (rounded to the nearest billion) in 2019 prices. This reported figure reported is the mid-point of a range (Point: £5bn incl. a mid-point of a range of contingencies at of £1bn). It should be noted that DfT reports in such a way in order to meet the IPA requirement of reporting a single figure for each Phase."
2021;DFT_0042_2021-Q1;HS2 Phase 2b;DFT;Infrastructure and Construction;HS2 will form the backbone of the UK's transport network, connecting eight out of ten of Britain's largest cities. By making it easier to move between the North, Midlands and South, cutting many journeys by half, HS2 will make it easier for people to live and work where they want.;Red;"The Infrastructure Project Authority's Delivery Confidence Assessment rating is Red.This is primarily due to the following factors: The DfT support the DCA rating of Red. Subject to the Integrated Rail Plan (IRP) the Western Leg bill is being prepared for deposit for early 2022 or earlier if possible. Alongside the Bill the Outline Business Case will also be published. This will set out an update on the schedule and cost of the programme. 

Decisions on the design and schedule of the Eastern Leg (West Midlands to Leeds) will also be made as part of the Integrated Rail Plan, though any delay to publication could affect the restart of work on the Eastern Leg.";2016-11-27;2040-12-31;The project end-date is 31 December 2040. This is primarily due to the following factors: Subject to the outcome of the Integrated Rail Plan (IRP), preparations are underway for a hybrid Bill for the Western Leg (Crewe to Manchester) and supporting Outline Business Case (OBC) to be deposited in Parliament in early 2022, or sooner if possible.    Owing to the close interface with IRP, any delay to the publication could affect the timings of works required for the Bill deposit. Further updates on schedule will be provided at the time the Outline Business Case is published.;£0.00;£204.00;The GMPP project did not provide data;£0.00;"The current Whole Life Costs (WLC) cost status for Phase 2b is displayed as 'zero'. Validation of the Phase 2b cost range and baseline is ongoing and will be updated to support the bringing forward of separate legislation for the HS2 route into Manchester. The emerging cost range for Phase 2b, however, (including contingency) continues to be reported as £32bn - £46bn in 2019 prices. In Q4 2020-21, the estimate for Phase 2b was placed at £39bn (rounded to the nearest billion) in 2019 prices. 

It should be recognised that this figure is the mid-point of a range between point estimate and upper range of contingency. DfT reports in such a way in order to meet the Infrastructure Projects Authority (IPA) requirement of reporting a single figure for each Phase. 

DfT does not report on the Whole Life Costs of the project as they do not reflect the true up-front capital costs of building the railway."
