,project_name,department,colour_rating,description_aims,rating_comment,start_date,end_date,schedule_comment,yearly_budget,yearly_forecast,wlc_baseline_incl_NCG,variance_comment,budget_comment,year,report_category,project_number,TOTAL Baseline Benefits (Łm),benefits_comment
23,Nature for Climate Fund,DEFRA,Red,"The Nature for Climate Fund Programme has been established to significantly increase tree planting, woodland creation and management, and peatland restoration in England to support the delivery of Net Zero and 25-Year Environment Plan commitments. The programme is also designed to deliver wider social, economic and environmental benefits.","Compared to financial year 21/22-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 22/23-Q4 decreased from Amber to Red. This is primarily due to the following factors.
 We have implemented many of the recommendations made by the IPA in 2022, and continue to welcome their support and assurance to improve delivery confidence. We have continued programme activity at pace, having sought greater clarity over the future of woodland creation and recalibrated planned activity through the programme's annual review process.",2020-04-01,2025-03-31,"Compared to financial year 21/22-Q4, the project's end-date at 22/23-Q4 remained schedule to finish on 2025-03-31. This is primarily due to the following factors.
  The NCF Programme is now well into its delivery phase, witha range of initiatives scheduled to deliver tree planting and peatland restoration. The programme's trajectories are showing an upward trend through the remaining years of the programme, but there are several key enablers required to match the planned delivery trajectory, which steepens over that period, and these are not certain. These key enablers include landowner demand for the schemes put forward through the NCF and the ability of the wider sector to respond to that demand. There has been a significant effort to implement these enablers and improve delivery confidence for years 4-5, and for woodland creation and peatland restoration beyond NCF.",219.26,219.26,928.0,The budget variance is inferior or equal to 5%. ,"Compared to financial year 21/22-Q4, the project's departmental-agree Whole Life Cost at 22/23-Q4 increased from 763m. to 928m. This is primarily due to the following factors.
  The increase in Whole Life Cost is due to an increase in the overall Programme budget and scope which was approved through an updated business case in 2022.",2023,Infrastructure and Construction,DEFRA_0013_2021-Q4,54302.0,"The project's departmental-agree monetised benefits at 22/23-Q4 is 54302m.
The project's departmental-agree monetised benefits at 22/23-Q4 is 54302m.The project's departmental-agree monetised benefits at 22/23-Q4 is 54302m.The project's departmental-agree monetised benefits at 22/23-Q4 is 54302m. The total monetized benefits figure is based on the cumulative benefits arising from tree planting and peatland restoration over the course of the NCF programme. Measured over a 50-year appraisal period, these benefits include: carbon sequestration, biodiversity, recreation, flood regulation, air quality and landscape."
24,NO2 Programme,DEFRA,Amber,The NO2 reduction programme is a joint programme with the Department for Transport to deliver the 2017 UK Plan for Tackling Roadside Nitrogen Dioxide Concentrations. The Plan outlines how councils with NO2 levels exceeding legal limits must develop and implement local plans to deliver legal levels of NO2 in the shortest time possible.,"Compared to financial year 21/22-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 22/23-Q4 remained at Amber. This is primarily due to the following factors.
 Good progress has made against all previous IPA recommendations. The most recent IPA review of the programme was in March 2023 and actions against each recommendation from this review are being taken forward. Overall the NO2 Programme continues to deliver mitigations alongside Local Authorities and remains at Amber.",2016-01-01,2027-12-31,"Compared to financial year 21/22-Q4, the project's end-date at 22/23-Q4 remained schedule to finish on 2027-12-31. This is primarily due to the following factors.
  The NO2 programme is legally mandated to deliver compliance with NO2 legal limits in the shortest time possible. The programme team works with local authorities across England who have exceedances to develop and implement local NO2 reduction plans through a variety of interventions. In 2022/23 four further Clean Air Zones were successfully launched in Bradford, Bristol, Tyneside and Sheffield to help reduce NO2 levels in the cities.  In February 2022, Ministers granted permission for Greater Manchester to pause implementation of their Clean Air Zone and submit revised plans. The programme team continues to work with Greater Manchester to continue engagement and meet legal obligations. Comprehensive monitoring and evaluation arrangements are in place to assess whether local authorities are on track to reduce NO2 levels in the timeframe expected and consider appropriate remedial action if they are not. The programme team also continues to work closely with National Highways to address NO2 exceedances on the Strategic Road Network.",189.3,43.4,883.0,"The budget variance exceeds 5%. The NO2 programme is supporting local authorities to develop and implement measures to address NO2 roadside exceedances. Funding has been provided to local authorities to deliver the necessary reductions to tackle NO2 over the lifetime of the programme. There have continued to be delays in agreeing local authority plans resulting in an underspend this year. The 22/23 baseline was updated in year, to reflect underspends as agreed with HMT and these figures were allowed for in SR21 budgets for the NO2 programme.","Compared to financial year 21/22-Q4, the project's departmental-agree Whole Life Cost at 22/23-Q4 decreased from 885m. to 883m. This is primarily due to the following factors.
 80 (m) to 883.00 (m). This is due to rounding rather than a decrease in costs.",2023,Infrastructure and Construction,DEFRA_0014_2021-Q4,,"The project did not provide departmental-agree monetised benefits at 22/23-Q4.
The project did not provide departmental-agree monetised benefits at 22/23-Q4.The project did not provide departmental-agree monetised benefits at 22/23-Q4.The project did not provide departmental-agree monetised benefits at 22/23-Q4. The primary benefit of the NO2 programme is reduced NO2 levels leading to a positive impact on public health. There is comprehensive monitoring and evaluation in place to track and manage the realisation of benefits from the programme."
25,Northern Ireland Programme,DEFRA,,"The Defra Northern Ireland Programme was formed in January 2021 and is led by the NI Directorate. It aims to ensure an enduring, operable NI/GB boundary for all Defra stakeholders, and the ongoing integrity and efficacy of Defras regulatory regimes in the context of the Windsor Framework, working collaboratively with the devolved administrations. 
The high-level strategic objectives of the programme are to: 
	Ensure compliance with the Windsor Framework
	Mitigate the impacts of the WF implementation for businesses trading into and out of Northern Ireland 
	Minimise the impact of WF implementation on consumers","
Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.",,,"
Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.",,,,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,"
Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.",2023,Government Transformation and Service Delivery,DEFRA_0015_2122-Q1,,"
Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests."
26,Oxford Flood Alleviation Scheme,DEFRA,Amber,"We are working with 9 partners on a major new flood scheme for Oxford, which will reduce flood risk to homes, businesses and major transport routes into the city. Our scheme will provide a long term reduction to flood risk in Oxford, helping better protect the city as flood risk increases with climate change.

The scheme will run through the existing floodplain west of Oxford. It will be formed of a new stream surrounded by a gently sloping floodplain of new wetland habitat and grazing meadow to create more space for water away from built-up areas.","Compared to financial year 21/22-Q4, the  Senior Responsible Owner's Delivery Confidence Assessment rating at 22/23-Q4 remained at Amber. This is primarily due to the following factors.
 The project has submitted its additional information to support the planning application. After public consultation by the Local Planning Authority we expect a planning decision Summer 2023. Further to this the project team are progressing the Compulsory Purchase Order, we expect this to go to Public Inquiry in early 2024. Subject to the consents and authorisations being secured construction is expected to commence in 2025. We have undertaken a re-costing exercise in light of the macro-economic inflationary conditions. This has shown that the project is still progressing the economically preferred option and that it remains affordable. Given the inherent uncertainty with timescales and outcomes of consenting processes the project, whilst making good progress, remains at Amber.",2014-04-02,2030-01-09,"Compared to financial year 21/22-Q4, the project's end-date at 22/23-Q4 remained schedule to finish on 2030-01-09. This is primarily due to the following factors.
  The project remains on schedule to complete as per the overall programme. Whilst the consents and authorisations are taking longer to secure than originally anticipated risk allowance within the programme and current construction sequencing enables completion to the stated dates. The  Oxford Flood Alleviation Scheme delivery schedule remains dependent on Oxfordshire County Council's A423 bridge replacement progressing as we are delivering a joint asset in this part of the scheme area.",1.81,1.84,205.0,n/a - forecast for the year is inline with the baseline,"Compared to financial year 21/22-Q4, the project's departmental-agree Whole Life Cost at 22/23-Q4 remained at 205m. This is primarily due to the following factors.
  The Whole Life Costs of the project remain within affordable range having taken into account wider inflationary pressures being experienced across the construction sector and economy as a whole.",2023,Infrastructure and Construction,DEFRA_0011_2021-Q3,1537.0,"The project's departmental-agree monetised benefits at 22/23-Q4 is 1537m.
The project's departmental-agree monetised benefits at 22/23-Q4 is 1537m.The project's departmental-agree monetised benefits at 22/23-Q4 is 1537m.The project's departmental-agree monetised benefits at 22/23-Q4 is 1537m. The benefits figure reflects the national flood damages avoided as per existing economic guidance. There are local quantifiable benefits and additional local economic growth factors not incorporated within this figure."
27,Pevensey and Eastbourne Coastal Management Scheme,DEFRA,Amber,"The aim of this project is to deliver a scheme to manage flood and erosion risk to a large number of properties, infrastructure, cultural heritage and environmental designated sites as well as deliver wider benefits.  The area for this scheme is Pevensey Bay to Eastbourne on the southeast coast of England.  This is a partnership project between the Environment Agency and Eastbourne Borough Council.","The Senior Responsible Owner's Delivery Confidence Assessment rating at 22/23-Q4 is Amber. This is primarily due to the following factors.
 The Pevensey Bay to Eastbourne Coastal Management scheme completed its modelling this financial year. This is a big milestone achieved for the project as it works through different scenarios and gives us an idea how many properties are at risk and provide the economic baseline for our appraisal. Looking ahead to the coming financial year the main milestones for this project are to go through the optioneering; from long-list to short-list to preferred option working with our partner Eastbourne Borough Council.",2020-06-29,2030-03-29,"The project's end-date at 22/23-Q4 is 2030-03-29. This is primarily due to the following factors.
  The project remains on schedule to complete as per the stated programme. There will be an annual baselining exercise in the next financial year.",1.13,0.97,142.0,The budget variance exceeds 5%. There is a reduction in total in year spend this quarter against the baseline forecast because of the adaptation pathways approach meant there was less consultancy spend than previously forecasted. We also paused our Early Supplier Engaged Contractor due to the adaptation pathways which we did to seek efficiencies in our delivery approach.,"The project's departmental-agree Whole Life Cost at 22/23-Q4 is 142m. This is primarily due to the following factors.
  The project Baseline Whole Life Cost has not changed. The whole life cost for the Pevensey Bay to Eastbourne Coastal Management Scheme considers all the work needed before, during and after scheme construction. This includes the cost of the work needed to design the scheme; gain the necessary licenses and consents and obtain business case approvals. It also considers the cost of materials and labour to construct the scheme, allowing for inflation and contingency for any risks which could occur and impact the delivery programme or cost. It further includes the estimated cost of works needed to maintain the scheme over a 100-year period and ensure benefit delivery.",2023,Infrastructure and Construction,DEFRA_0086_2122-Q4,1661.0,"The project's departmental-agree monetised benefits at 22/23-Q4 is 1661m.
The project's departmental-agree monetised benefits at 22/23-Q4 is 1661m.The project's departmental-agree monetised benefits at 22/23-Q4 is 1661m.The project's departmental-agree monetised benefits at 22/23-Q4 is 1661m. Scheme manages and reduces flood risk to homes, businesses and infrastructure such as the A259, hospitals, schools and water treatment works.  The project also improves key protected habitats and increases biodiversity. Benefits are monetised as costs avoided once the reduced flood risk has been achieved. The whole life benefits of the scheme are calculated using established flood damage calculations (based on Multi-coloured manual)"
28,River Thames Scheme,DEFRA,Amber,"The River Thames Scheme has 3 main goals:
- Protecting our communities - we will create more resilient places and infrastructure for our communities by reducing the risk of flooding
- Enhancing our Thames - we will increase the natural capital of the River Thames
- Securing our economy - we will maximise social value of the scheme to promote green and sustainable growth

How we'll achieve this:
- People - we value people and champion an inclusive culture
- Sustainability - create a greener future by tackling causes of climate change and becoming carbon neutral
- Value for money - maximise opportunities to innovate to deliver valuable outcomes","Compared to financial year 21/22-Q4, the  Senior Responsible Owner's Delivery Confidence Assessment rating at 22/23-Q4 remained at Amber. This is primarily due to the following factors.
 The collaboration agreement with Surrey County Council has been signed and the supply partners for the consents and authorisations phase of the project leading to the Full Business Case has been onboarded. Favourable weather conditions have also allowed us to bring forward ground investigation surveys into this financial year. Reviews of the consenting programme and construction programme have resulted in increased forecast durations of these activities which is reflected in later start on site and readiness for service dates. The project is continuing work on it's cost update to reflect the wider macro-economic inflation factors. This will lead to an increase in the overall forecast cost which could lead to economic and financial pressures that the team will be managing to ensure the scheme remains deliverable and affordable.",2017-04-12,2030-04-01,"Compared to financial year 21/22-Q4, the project's end-date at 22/23-Q4 remained schedule to finish on 2030-04-01. This is primarily due to the following factors.
  The project forecast dates are expected to exceed the baseline dates as the Development Consent Order is expected to take longer than originally anticipated and the construction programme is likely to require an additional year to complete an operational scheme.",16.68,17.89,501.0,The budget variance exceeds 5%. In year spend has exceeded the original baseline figures. This is due to having favourable weather conditions that allowed for ground investigations scheduled for next financial year to be brought forward to this financial year and having higher resourcing costs than when originally baselined.,"Compared to financial year 21/22-Q4, the project's departmental-agree Whole Life Cost at 22/23-Q4 remained at 501m. This is primarily due to the following factors.
  The current whole life cost figure remains as per the Outline Business Case forecast. A cost review process is ongoing to provide a re-baselined figure that takes into account wider macro-economic inflation factors. When completed scheme cost is expected to increase to reflect the wider increases across the construction sector..",2023,Infrastructure and Construction,DEFRA_0012_2021-Q3,2763.0,"The project's departmental-agree monetised benefits at 22/23-Q4 is 2763m.
The project's departmental-agree monetised benefits at 22/23-Q4 is 2763m.The project's departmental-agree monetised benefits at 22/23-Q4 is 2763m.The project's departmental-agree monetised benefits at 22/23-Q4 is 2763m. The benefits figure reflects the national flood damages avoided as per existing economic guidance. There are local quantifiable benefits and additional local economic growth factors not incorporated within this figure."
29,Science Capability in Animal Health Programme,DEFRA,Amber,"The SCAH Programme sets out the Department for Environment, Food and Rural Affairs' (Defra) plans for long-term investment in the Government's main animal health science facility. The re-development of the site infrastructure and associated transformation programme will secure and safeguard the critical animal health science capability, protecting the nation from the impacts of animal diseases in a cost effective way.","Compared to financial year 21/22-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 22/23-Q4 remained at Amber. This is primarily due to the following factors.
 Good progress is being made towards clearing the site for construction and to inform the main investment decision point in Q3 2024 which will settle scope. This includes work on requirements and specialist technical services to support maturing the design for the scheme, which will underpin the business case. The programme remains amber due to current uncertainty of scope and funding, which will be addressed at the next Business case in 2024.",2021-04-01,2036-09-30,"Compared to financial year 21/22-Q4, the project's end-date at 22/23-Q4 remained schedule to finish on 2036-09-30. This is primarily due to the following factors.
  The forecast completion date for the Programme remains September '36 pending further development of the Programme Master Schedule to reflect the changes approved following the first Tranche of activity (T1a).",29.72,27.54,2820.0,Forecast spend for 22/23 is c. 2.2M (7%) below the budget allocated primarily as a result of the Programme not spending c.1.5M of optimism bias that was built into the allocated budget as SRO-owned contingency for the Programme.,"Compared to financial year 21/22-Q4, the project's departmental-agree Whole Life Cost at 22/23-Q4 remained at 2820m. This is primarily due to the following factors.
  The Whole Life Cost estimate has reduced as a result of a reforecast of costs  following an assessment of the changes identified through Tranche 1a of the Programme. These revised costs also reflect the updated Master Schedule.",2023,Infrastructure and Construction,DEFRA_0007_2021-Q1,208.0,"The project's departmental-agree monetised benefits at 22/23-Q4 is 208m.
The project's departmental-agree monetised benefits at 22/23-Q4 is 208m.The project's departmental-agree monetised benefits at 22/23-Q4 is 208m.The project's departmental-agree monetised benefits at 22/23-Q4 is 208m. Work continues to identify and refine benefits for inclusion within Programme Business Case V2.0."
30,Terrestrial Natural Capital Ecosystem Assessment,DEFRA,Amber,"The TNCEA programme establishes the first comprehensive understanding of the condition of natural capital assets across England drawn upon measurements data captured in the field. It puts in place sustainable capabilities to maintain and refresh the data baseline to keep it current in informing and supporting delivery of the 25YEP and related initiatives. The programme takes Defra's progress further towards becoming a data-driven, evidence-based organisation. The programme also incorporates development of systems modelling approaches in order to gain greater understanding of the complex relationships within the captured data, enabling it to be exploited for greater utility by customers for the data. The data generated will be used by a wide-range of stakeholder communities, including; core Defra and its Arms Length Bodies (ALBs), other Government departments, local government, national parks and authorities, utility providers and regulators, NGOs (local and national), private sector companies and academia.","The Senior Responsible Owner's Delivery Confidence Assessment rating at 22/23-Q4 is Amber. This is primarily due to the following factors.
 Delivery confidence is currently Amber as we have set up almost all the governance infrastructure within the Programme and we have Programme Business Case approval from Investment Committee. Our Future Delivery Confidence is at Green/Amber as we are in the process of standing up all outstanding Governance Structures, completing the Benefits Plan and are currently filling critical FTE within the Programme.",2021-04-01,2025-04-01,"The project's end-date at 22/23-Q4 is 2025-04-01. This is primarily due to the following factors.
  The Project end date is 31/3/25 and is based on the funding approved through the 2021 Spending Review, following a successful pilot funded through the 2020 Spending Review. The current programme will deliver national and some regional scale estimates of ecosystem and natural capital asset extent, location, and condition. To obtain the finer granularity that customers seek for their decisions and evaluations, additional capital funding will be required to extend the programme for 3 years. Stopping at the end of the FY 24/25 would leave additional benefits unrealised. Hence, we are working with partners and stakeholders to identify potential sources of funding for this.",23.28,26.2,125.0,The programme was unable to spend its full allocation of funding for 22/23 as it took time longer than expected to staff the programme and to procure the services required.  This was due in part due to  recruitment restrictions introduced in 2022 and difficulties in getting projects through the commercial process in time.  We have now recruited four commercial staff to focus on NCEA procurement and filled many of the vacant posts.,"The project's departmental-agree Whole Life Cost at 22/23-Q4 is 125m. This is primarily due to the following factors.
  The programme has a range of controls and implementable measures to ensure expenditure does not exceed available funds, currently standing at 40.1m for FY 23/24 and 51.6m for FY24/25. Programme funding and costs for future years will be assessed on an annual basis. Where necessary, costs will be submitted as committed liabilities for future Spending Review assessments; for example, where costs are for the maintenance or infrastructure, or where they related to headcount cost.",2023,Government Transformation and Service Delivery,DEFRA_0190_2223-Q3,,"The project did not provide departmental-agree monetised benefits at 22/23-Q4.
The project did not provide departmental-agree monetised benefits at 22/23-Q4.The project did not provide departmental-agree monetised benefits at 22/23-Q4.The project did not provide departmental-agree monetised benefits at 22/23-Q4. N/a - no monetised benefits"
31,UK Seafood Fund,DEFRA,Amber,"The UK Seafood Fund aims to deliver the 100 million of funding to support the fishing sector, by ensuring better utilisation of our larger share of quota and supporting the industry to become more self-sustaining through increased product value and access to new markets. The fund supports the government priorities of levelling up coastal communities, strengthening the Union and increasing sustainability. The fund is divided into three key elements: Science and Innovation, Infrastructure and Skills and Training.","Compared to financial year 21/22-Q4, the Delivery Confidence Assessment rating at 22/23-Q4 remained at Amber (SRO rating). This is primarily due to the following factors.
  This is primarily due to the following factor: Some funding rounds have been completed but there are some delivery milestones yet to achieve. A follow up assurance review is scheduled for June 2023.",2021-02-01,2025-03-31,"Compared to financial year 21/22-Q4, the project's end-date at 22/23-Q4 increased from 2024-03-31 to 2025-03-31. This is primarily due to the following factors.
  An extension to the end date of the scheme and subsequent reprofile of funding as recommended by the IPA Assurance review in March 2022.",13.1,9.3,100.0,The UK Seafood Fund remains on track to spend the 100 million provided. The variance reflects the changes in spending as a result of the extension of the scheme and will be addressed at the Supplementary Estimates.,"Compared to financial year 21/22-Q4, the project's departmental-agree Whole Life Cost at 22/23-Q4 increased from 99m. to 100m. This is primarily due to the following factors.
  Creation of a new baseline budget and forecast cost following the revised Supplementary Estimate agreed by HMT.",2023,Government Transformation and Service Delivery,DEFRA_0017_2122-Q1,,"The project did not provide departmental-agree monetised benefits at 22/23-Q4.
The project did not provide departmental-agree monetised benefits at 22/23-Q4.The project did not provide departmental-agree monetised benefits at 22/23-Q4.The project did not provide departmental-agree monetised benefits at 22/23-Q4. The benefits for the UK Seafood Fund, as stated in the programme Business Case, have been estimated based on an economic analysis of similar case studies. A significant majority of this will be unquantifiable and unmonetised due to the nature of the projects, therefore it is not possible to predict a profile defining exactly what monetised benefits will be realised and when."
32,Workplace and Facilities Management,DEFRA,Amber,"Workplace and Facilities Management services make it possible for Defra Group to operate its property portfolio (over 300 properties and the Weybridge Science Community) for 26,000 colleagues. These essential services include asset maintenance in line with Health and Safety requirements and bio-security regulations. Without these services, the estate (including offices, science laboratories, flood depots etc) would be unsafe and unable to operate, with severe consequences for the UK economy and environment given the frontline nature of much of Defra Groups activity.
The project will transform  workplace and facilities management services through unifying  two separate operating models -  utilising an integrated delivery model.  This  will enhance the working relationship between Defra and its delivery partners, improving the contractual risk apportionment and ensure the control of critical services sits within Defra. As a key enabler, the new services form an integral element of the wider Corporate Services Transformation Programme.","Compared to financial year 21/22-Q4, the  Senior Responsible Owner's Delivery Confidence Assessment rating at 22/23-Q4 remained at Amber. This is primarily due to the following factors.
 The project remains on target to deliver to its Spring 2024 go live schedule. The Amber delivery confidence  rating reflects ongoing  delivery, stakeholder engagement and resource risks.  The Full Business case has received  internal approval in principle and will require HMT and Cabinet Office final sign-off before contract award.    Mobilisation  will start once the contract has been awarded and the Preferred Supplier is in place . The project continues to focus  on developing its Target Operating Model, on stakeholder engagement initiatives  and on preparing for bringing the  preferred supplier on board ahead of mobilisation of the contract.",2021-06-01,2024-10-31,"Compared to financial year 21/22-Q4, the project's end-date at 22/23-Q4 decreased from 2024-12-31 to 2024-10-31. This is primarily due to the following factors.
  The Project remains on track to go live with the new Contract in 2024. This date is subject to the approval of the Full Business Case in Spring 2023 and subsequent Contract Award.  Once the contract has been awarded, and following implementation of the mobilisation plan, the project is scheduled to go live by Spring 2024",74.43,74.43,866.0,The GMPP project did not provide data,"The project's departmental-agree Whole Life Cost at 22/23-Q4 is 866m. This is primarily due to the following factors.
  The baseline whole life costs figure is as reported in the Outline Business Case, setting out a position of 865.9.  Updated costings information reflecting the Full Business Case (FBC), which sets out Preferred Supplier costs, is being developed  and will be reported when the business case has been signed off.",2023,Government Transformation and Service Delivery,DEFRA_0012_2122-Q2,,"The project did not provide departmental-agree monetised benefits at 22/23-Q4.
The project did not provide departmental-agree monetised benefits at 22/23-Q4.The project did not provide departmental-agree monetised benefits at 22/23-Q4.The project did not provide departmental-agree monetised benefits at 22/23-Q4. The Project's Outline Business Case was approved in March 2022, we have subsequently refined benefits details and will be able to provide updated  figures following Full Business Case  sign-off in early 2023 .                                                                                                                                                                                                                The project expects to deliver benefits which include:	Legal and health and safety requirements including minimising estate-related incidents and health and safety regulatory compliance; 	Direct monetary savings (cash releasing benefits), such as the avoidance of unexpected repair and breakdown costs;	Indirect monetary savings (non-cash releasing benefits), such as improvements in colleague productivity and reductions in colleague turnover; and 	Public value benefits, such as social returns on public investment in science; and a wide range of benefits that are unlocked by activities undertaken by the Defra Group colleagues such as animal disease prevention and control; emergency flood response; environmental regulation and the impacts on greenhouse gas emissions."
33,CCUS,DESNZ,,"CCUS is essential in meeting net zero targets and we have committed to supporting the deployment of CCUS in two industrial clusters by the mid-2020s and a further two clusters by 2030, as announced in the Prime Minister's Ten Point Plan. As set out in the Net Zero Strategy we have an ambition to capture 20-30 million tonnes of CO2 per annum and, as per the Energy Security Strategy, will enable 10 GW of low carbon hydrogen capacity by 2030 with at least half from electrolytic hydrogen, subject to affordability and value for money.","
Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.",2020-04-01,2030-12-31,"Compared to financial year 21/22-Q4, the project's end-date at 22/23-Q4 remained schedule to finish on 2030-12-31. This is primarily due to the following factors.
Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.",,,,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,"
Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.",2023,Infrastructure and Construction,BEIS_0018_2122-Q1,,"The project did not provide departmental-agree monetised benefits at 22/23-Q4.
The project did not provide departmental-agree monetised benefits at 22/23-Q4. N/A"
34,Energy Bills Support Scheme,DESNZ,Amber,"The Energy Bills Support Scheme (EBSS) will provide a one-off 400 reduction to domestic energy bills for the significant majority of households in Great Britain and Northern Ireland.

The programme is made up of three schemes: Great Britain (GB - c11.7bn), Northern Ireland (NI - c340m) and the Alternative Fund (AF - c380m). EBSS GB is being delivered through six separate payments to applicants between October 2022-March 2023. EBSS NI will be delivered through a single payment to customers from January 2023 (combined with the 200 Alternative Fuel Payment NI scheme). The AF (GB and NI) scheme was launched in Febuary 2023 to deliver a single payment to applicants up til 31 May 2023.","The Infrastructure Project Authority's Delivery Confidence Assessment rating at 22/23-Q4 is Amber. This is primarily due to the following factors.
The EBSS GB and NI projects have now been delivered and attention is firmly on increasing voucher redemption rates, compliance and enforcement activities. Their intitial 'high risk' overall risk potential assessment ratings has nowhave reduced to 'low' and 'very low' respectively. The current Delivery Confidence Assessments for these two projects are RAG-ed as Green.The EBSS AF project is currently in delivery with challenges being experienced with the digital application process and a significant number of applicant complaints. Consequently, the RAG rating for this project remains at Amber.",2022-02-21,2023-10-31,"The project's end-date at 22/23-Q4 is 2023-10-31. This is primarily due to the following factors.
 The EBSS GB and NI projects have now been delivered with outstanding work only remaining in the assurance and benefits space. These projects are on schedule to be closed by end-November 2023.The EBSS AF project is currently in delivery with challenges being experienced with the digital application process and a significant number of applicant complaints.",12445.0,11988.15,12455.0,Narrative not required as budget variance is inferior or equal to 5%.,"The project's departmental-agree Whole Life Cost at 22/23-Q4 is 12455m. This is primarily due to the following factors.
 The above 12.5bn baseline is based on costings using the regulator meter points and estimated edge case that should be provided with 400 EBSS support. Updated meter point data provided by suppliers has, however, been marginally lower for the EBSS GB scheme, where an average of 28,753,579 GB customers received 400 over the period, leading to a reduction in forecast spend to 12.2bn.",2023,Government Transformation and Service Delivery,BEIS_0102_2122-Q4,12415.0,"The project's departmental-agree monetised benefits at 22/23-Q4 is 12415m.
The programme departmental-agreed benefits at 22/23 Q4 is 12,415m. This figure is an estimate only, representing the total value of the energy grant expected to be delivered through the EBSS GB, NI and AF schemes. This figure should only be considered as a partial analysis of the schemes impact and there will be instances where it is not possible to deliver grant funds.Work is ongoing within the department to quantify impacts which are crucial to the benefits of the schemes, including the avoidance of heating underconsumption and fuel poverty, and they are not accounted for in the baseline benefits figure provided above. Further data on benefits arising from the EBSS schemes is expected to be published in 2024."
