,project_name,department,colour_rating,description_aims,rating_comment,start_date,end_date,schedule_comment,yearly_budget,yearly_forecast,wlc_baseline_incl_NCG,variance_comment,budget_comment,year,report_category,project_number,TOTAL Baseline Benefits (Łm),benefits_comment
283,Community Accommodation Service Tier 2,MOJ,Green,"This is a critical service for HMPPS, providing suitable accommodation and support for low and medium risk offenders, primarily on Bail and Home Detention Curfew who would otherwise be held in custody, and thereby eases pressure on the prison population. The current contract expires on 30 September 2022 and needs to be replaced.","The Senior Responsible Owner Delivery Confidence Assessment rating at 21/22-Q4 is Green
This is the first time data has been published for this project, which has been added to GMPP over the last year. The DCA is Green primarily due to the following factors: The contract was signed on Friday 11th February 2022 and Mobilisation has commenced.",,,Your project end-date is 31 MAR 2023. This is primarily due to the following factors: The project is on track to finish on 31st March 2023,0.32,0.32,63.0,The in year variance is below or equal to 5% so no narrative is required.,"Your projects Baseline Whole Life Cost is 62.60 (Łm). This is primarily due to the following factors: 
The Baseline Whole Life Cost includes contract costs, mobilisation, contract management costs and provision for occupancy adjustment.",2022.0,Government Transformation and Service Delivery,MOJ_0059_2122-Q1,,
284,Contact Engagement Programme,HMRC,Amber,"This programme will replace HMRC's telephony platform, which over time allows HMRC to transform the way we interact with customers, becoming a more effective and efficient organisation, driving digital take up where appropriate and providing improved tools to support our colleagues to resolve customer contact effectively through a 'once and done' approach.","Compared to financial year 20/21-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 21/22-Q4 decreased from Amber/red to Amber The programme faced issues with testing and delivery of data and reporting solutions resulting in the programme plan being delayed. A revised programme migration plan has been agreed commencing May 2022 and completing August 2022. The programme focus is on overall readiness to support go-live covering both technical and operational readiness.",,,"Compared to 2021-Q4, your project end-date remained scheduled to finish on 30 JUN  2022  . This is primarily due to the following factors: There has been slippage in the programme plan due to issues with testing and delivery of data and reporting solutions. A revised plan has been agreed and the programme currently expects migration to start May 2022 and complete in August 2022. The revised plan contains ""firebreak"" points to ensure that the performance of the service is assured throughout, and any issues found are mitigated.",64.2,63.6,226.0,The budget variance is inferior or equal to 5%.,"Compared to2021-Q4, the projects Baseline Whole Life Cost increased from 153.66 (Łm) to 226.37 (Łm). This is primarily due to the following factors: The whole life costs have increased due to slippage in the programme plan resulting in additional resources being required for a longer period.",2022.0,Government Transformation and Service Delivery,HMRC_0026_2021-Q1,,
285,Core Production Capability,MOD,Red,"Delivers safe nuclear reactor cores to meet the Royal Navy's submarine programme, now and for the long term.","Compared to financial year 20/21-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating decreased from Amber to Red. This is primarily due to the following factors:
Significant and ongoing challenges associated with achieving the required core delivery date for Dreadnought and the importance of that milestone to sustaining the Continuous at Sea Deterrent.",,,"Compared to 2021-Q4, the project end-date remained scheduled to finish on 30 April 2028. 
",,,,Exempt under Section 26 of the Freedom of Information Act 2000 (Defence),Exempt under Section 26 of the Freedom of Information Act 2000 (Defence),2022.0,Military Capability,MOD_0078_1213-Q1,,
286,Critical Platform Transformation CPT,HMRC,Amber,This Programme has maintained critical tax systems through a plan of software / hardware refreshes and process improvements to reduce known risks and anticipated threats arising from legacy IT Hardware / Infrastructure to create some modern IT platforms to support new services and new policy. The successor Programme will continue the strategic aim to create these services across the rest of HMRC.,"The Senior Responsible Owner Delivery Confidence Assessment rating at 21/22-Q4 is Amber This Programme has delivered its primary objective to address infrastructure vulnerabilities in critical HMRC IT systems delivering, secure, flexible industry-standard technologies, to enable innovation and capability development. By meeting changing policy needs the programme has created a more resilient organisation, with improved experiences and compliance for HMRC's ""Customers, Staff, and Government"". Some lower priority elements were not delivered by the programme due to time constraints, prioritisation decisions and supplier resourcing gaps but these will now be taken forward by the successor programme.",,,"Your project end-date is 31 MAR 2022. This is primarily due to the following factors: This programme ended on 31st March 2022 and completed 75% of its scope. Of the 25% not delivered, 10% of deliverables were too cost-prohibitive against the benefit to take forward, and the remaining 15% is being taken forward by the successor programme.",71.2,46.58,85.0,"The underspend was because only 75% of the original programme scope was completed. 10% of deliverables were too cost-prohibitive against the benefit to take forward, with the remaining 15% being taken forward by the successor programme.",Your projects Baseline Whole Life Cost is 84.80 (Łm). This is primarily due to the following factors: The whole life costs for the programme were primarily driven by IT and related resource spend.,2022.0,ICT,HMRC_0032_2122-Q1,,
287,Crossrail Programme,DFT,Amber,A new high-frequency rail service which will increase rail-based capacity in London by up to 10% and cut journey times across London and the South East.,"Compared to financial year 20/21-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 21/22-Q4 decreased from Amber/red to Amber. Crossrail continues to make good progress and on 04 May 2022 announced that the central section (Paddington - Abbey Wood) was set to open on 24 May 2022. All large-scale mass evacuation exercises in the central section tunnel between Paddington and Abbey Wood were successfully  completed. Further system updates to improve reliability were successfully implemented over the Easter weekend and Crossrail is currently in the 'shadow running' period of the service to further increase reliability. 
There is still a funding shortfall above the additional funding (Ł2.97bn) agreed in 2018 and 2020 although CRL are finding ways to reduce this. The department are seeking to address any remaining shortfall via the TfL Capital Settlement Negotiations.",,,"Compared to 2021-Q4, your project end-date remained scheduled to finish on 14 MAY  2023. This is primarily due to the following factors: On 04 May 2022 TfL confirmed that the Elizabeth Line remains on track to open the central section (Paddington - Abbey Wood) on 24 May 2022. Some risk remains due to the reliability of the service which could impact central section opening and the subsequent delivery stages. Given the need to continue to build reliability, full end to end services are targeted for May 2023.",863.0,679.0,,"The budget variance exceeds 5%. The budget variance for this financial year is lower than the baseline, this is due to a reprofiling of cost over future years.","Compared to2021-Q4, the projects Baseline Whole Life Cost increased from 18812.10 (Łm) to 18814.30 (Łm). This is primarily due to the following factors: In period 11, Crossrail's (CRL) current Anticipated Final Crossrail Direct Costs (AFCDC) increased by Ł24m to Ł15,963m.  This increase is driven by increased costs of station works, particularly at Bond Street and not achieving savings targeted. The overall project costs include NR costs for the on network works but excludes costs for rolling stock and depots. CRL continues to pursue its focus to deliver the programme, but the need to provide further funding in the second half of 2022 is increasing likely. The Department is developing proposals for cross-government consensus prior to engaging with TfL and GLA. This is being done so in parallel to the TfL Capital Settlement negotiations.",2022.0,Infrastructure and Construction,DFT_0001_1112-Q1,,
288,Crowsnest Programme,MOD,Red,"The Crowsnest programme aims to deliver an organic Airborne Surveillance and Control capability as role fit to the Merlin Mark 2 helicopter. By delivering concurrent Land, Sea and Air surveillance and control for Carrier Strike, Littoral Manouvre and Land, it will provide force protection, intelligance and support to strike assets. It is part of the Carrier Enabled Power Projection programme with Queen Elizabeth Class Carriers and the F-35 Lightening.","Compared to financial year 20/21-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating remained at Red. This is primarily due to the following factors:
Crowsnest is yet to declare Initial Operating Capability due to industry historical poor performance and the programme requires formal approval to rebaseline the date.  This can only be sought once key milestones have been satisfied.",,,"Compared to 2021-Q4 the project end-date decreased from 30 July 23 to 30 June 23. This is primarily due to the following factors:
The programme end date remains within tolerable limits.",59.0,31.0,505.0,The budget variance exceeds 5%. This is due to the re-assessment of VAT status following VAT tribunal ruling and delays to receipt of spares.,"Compared to 2021-Q4 the projects baseline Whole Life Costs increased from Ł495.70 (Łm) to 505.06(Łm).  This is primarily due to the following factors: 
The re-assessment of VAT treatment following a VAT tribunal.",2022.0,Military Capability,MOD_0017_1112-Q1,,
289,Debt Respite Programme,HMRC,Green,"The Debt Respite Scheme (DRS) is a government policy supporting vulnerable customers in problem debt. DRS legislation applies to all creditors (including HMRC) and offers debtors legal protection from creditor action on qualifying debts e.g. recovery and enforcement action stops and interest, fees and charges are paused. DRS covers England and Wales and is administered by the Insolvency Service who notify creditors when customers enter/exit DRS. There are two scheme elements: Breathing Space (BS) and Statutory Debt Repayment Plan (SDRP). 
There are three Programme phases:
Phase 1: implemented BS on 4 May 2021 meeting the legislative deadline using a medium-term part auto / part manual solution
Phase 2: transition to the long-term IT solution by 31/3/23 to reduce the admin burden on HMRC and lay the foundations for the more complex second scheme element: SDRP
Phase 3: design and deliver SDRP to ensure HMRC compliance with legislation by August 2024.","The Senior Responsible Owner Delivery Confidence Assessment rating at 21/22-Q4 is Green A recent independent assurance review was rated Green in terms of delivery confidence reflecting that 'successful delivery of the programme/project to time, cost and quality appears highly likely and there are no major outstanding issues that at this stage appear to threaten delivery.",,,Your project end-date is 01 DEC 2024. This is primarily due to the following factors: The programme plan is assessed as achievable and is currently on track,21.04,17.54,99.0,The budget variance exceeds 5%. The reduction in forecast costs for 21/22 was due to a lack of IT supplier availability and capacity meaning that some costs have moved to 22/23,Your projects Baseline Whole Life Cost is 98.58 (Łm). This is primarily due to the following factors: Whole life cycle costs are made up of paybill and IT costs for the period 2019/20 to 2025/26.,2022.0,Government Transformation and Service Delivery,HMRC_0031_2122-Q1,,
290,Debt Transformation,HMRC,Amber,"Debt Transformation is a five year programme to be delivered by HMRC. This Programme will provide a new functional and future proof debt management system to replace the current system - the Integrated Debt Management System (IDMS).  The Programme will manage an incremental transition to new services, sequencing the on-boarding of tax regimes whilst decommissioning the legacy service, enabling a single view of a customers' total indebtedness and allowing for a customer-centric approach to debt collection. 
The Debt Transformation Programme will reduce business system failure risk therefore protecting revenues and provide the opportunity to realise key efficiencies and revenue benefits to HMRC. It will help reduce debt balance and contribute towards our strategic objectives including making it easy to get tax right and hard to bend or break the rules, collect the right tax and pay out the right financial support and to support wider government economic aims through a resilient, agile tax administration system.","The Infrastructure Project Authority's Delivery Confidence Assessment rating at 21/22-Q4 is Amber The key reasons for the amber status are due to concerns regarding supplier capacity and capability and funding. To address these concerns the programme is fully engaging with stakeholders to develop, pilot and test the delivery model; and is considering the options regarding funding.",,,"Your project end-date is 01 DEC 2025. This is primarily due to the following factors: The Debt Transformation Programme is made up of three Projects initially, with further activity scheduled to replace the current Debt Management System, Integrated Debt Management System (IDMS), throughout the lifespan of the Programme including decommissioning of IDMS, all of which is on track.",18.81,12.9,79.0,"The budget variance exceeds 5%. In year, shared components across the portfolio costs were looked at in depth and the decision was taken to decrease Debt Transformation's share of shared components costs and as a result expenditure was transferred to another programme.","Your projects Baseline Whole Life Cost is 78.53 (Łm). This is primarily due to the following factors: The whole life cycle costs are made up of Programme Development (Information Technology (IT) costs, Service line costs to maintain service in live environment, Programme paybill and Programme overhead costs for the period 2020/21 to 2025/26.",2022.0,Government Transformation and Service Delivery,HMRC_0028_2122-Q3,,
291,Defence Estate Optimisation,MOD,Amber,"Defence Estates Optimisation is a long-term investment to modernise the defence estate. It is an ambitious 25-year portfolio of construction activity, unit and personnel moves, and site disposals that will deliver a better structured, more economical and modern estate that more effectively supports military capability.","Compared to financial year 20/21-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating decreased from Amber/Red to Amber. This is primarily due to the following factors:
The removal of the incremental Amber/Red and Amber Green assessment rating. 
The new Delivery Commercial and Procurement Strategy as the preferred method of procurement, will enable an efficient framework alliance contract and embeds 2 stage procurement. This is still waiting final approval.",,,"Compared to 2021-Q4, the project end-date remained scheduled to finish on 31 March 41. 
",82.71,71.12,,"The budget variance exceeds 5%.
During FY 20/21 the Defence Estates Optimisation Portfolio was re-baselined and budget amended to reflect the Spending Review outcome and COVID-19 impacts, therefore there is no longer an affordability issue except for the aspirational projects such as disposal or relocation of existing unit locations. These will be further considered as part of the work to develop a new baseline together with the outcomes expected from the Integrated Review.  This revised baseline will be generated during FY 22/23.","Compared to 2021-Q4, the projects Baseline Whole Life Costs increased from 1266.33 (Łm) to 5393.69 (Łm). The remaining whole life variance is predominantly due to the remaining element of the Aspirational projects which did not form part of the Spending Review proposition and as part of the re-baselining exercise. Defence is considering whether these projects remain a viable proposition for this portfolio.",2022.0,Military Capability,MOD_0114_1718-Q1,,
292,"Defra Biosecurity, Borders and Trade Programme (BBTP)",DEFRA,Amber,"The Defra Biosecurity, Borders and Trade Programme (BBTP) vision is to deliver world-class biosecurity capability which protects health, encourages prosperity and enables security for a global UK. The programme is delivering the key infrastructure, systems, services, operations, capabilities, and legislative changes required to enable the introduction of new controls for goods to and from the EU.","The Infrastructure Project Authority's Delivery Confidence Assessment rating at 21/22-Q4 is Amber In 21/22 the programme has successfully supported a series of changes to export processes and has also delivered pre-notification for all SPS imports from the EU.  The programme is on-track to implement border checks for SPS goods imported from the EU, in a phased way between 1 July and 1 November 2022 (following a ministerial decision to move to this delivery schedule).    Required infrastructure for July delivery and core IT systems are on-track.  Port Health Authorities and APHA have recruited staff to undertake checks and comprehensive test and engagement plans are in place to support successful delivery.   Post July 22 the programme will deliver a prioritised roadmap of improvements to both imports and exports processes, including developing new digital services working with cross government partners.",,,"Your project end-date is 31 MAR 2025. This is primarily due to the following factors: Following a ministerial decision in 2021 to delay the Go-Live dates for the control of SPS imports from the EU until 1 Jan 2022 and 1 Jul 2022, a concerted replanning exercise took place.  New import pre-notification processes were successfully implemented in January 2022 and the programme is continuing to manage a complex set of projects to ensure that infrastructure, digital services, people and processes are in place and tested to support phased implementation plans during 2022.  Longer term the programme is planning a series of improvements to support both imports and exports processes.",221.13,130.75,910.0,"The budget variance exceeds 5%. The programme variance for FY 21/22 is due to a revision in delivery plans, including moving to a new implementation timetable.
Infrastructure costs have varied due to some construction replanning  (partly caused by supply chain issues), and cost validation of delivered items / work.
Digital delivery costs have reduced due to a lesser requirement for optimism bias.
Staff costs in FY 21/22 are lower than originally forecast.","Your projects Baseline Whole Life Cost is 910.17 (Łm). This is primarily due to the following factors: Whole live costs reflect programme delivery (due to finish March 2025) and 5 years of operational / BAU costs.
Programme delivery costs for Digital Delivery & physical Infrastructure are subject to constant review and are subject to change as plans are refined.",2022.0,Government Transformation and Service Delivery,DEFRA_0016_2122-Q1,,
293,Digital Identity,CO,Amber,"One Login will provide a single account for citizens to login, prove their identity simply and securely, and access central government online services. It will enable more people to use more HMG services, improving inclusion and decreasing reliance on slower offline routes, and will reduce duplication, costs and fraud across government.","The Infrastructure Project Authority's Delivery Confidence Assessment rating at 21/22-Q4 is Amber. The One Login programme made significant progress in 2021/22, and momentum is continuing to build. It is fully funded following the 2021 Spending Review, and has strong backing from departments and services across government. One Login's sign-on component went live in October 2021 and, as a result of extensive development and planning work in 2021/22, the programme is on track to meet its critical milestones in 2022/23; these include the initial release of One Login's identity verification solution, the subsequent launch of an identity checking App, and the onboarding of its first services and live users. The overall AMBER rating reflects the challenging pace of delivery and the complex issues around resourcing, both of which the GDS team is actively desrisking.",,,Your project end-date is 31 MAR 2025. This is primarily due to the following factors: We are Amber at the end of 2021/22 due to recruitment and procurement delays. Overall confidence is increasing following careful planning and testing which has de-risked subsequent delivery.,21.68,16.58,22.0,Fewer staff than budgetted and length of procurement process for DOS contracts has resulted in lower than budget spend.,Your projects Baseline Whole Life Cost is 21.68 (Łm). This is primarily due to the following factors: Project is below budget due to fewer staff and delays in contract procurements.,2022.0,ICT,CO_0033_2122-Q1,,
294,Digital Services at the Border (DSAB),HO,Amber,To deliver digital services that will provide systems capable of transforming the way that Border Force (BF) and its partners operate.,"Compared to financial year 20/21-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 21/22-Q4 remained at Amber. The July 2021 Infrastructure Projects Authority review provided us with amber delivery confidence. However, previously, Senior Responsible Owner's Quarterly Assessment was Red, due to further work required on the Passenger Locator Forms to tackle health measures at the borders because of COVID19.  This also rescheduled the eGates' upgrade to use Border Crossing, allowing the Passenger Locator Form checks to be conducted across the eGates. These factors, several ongoing risks and Helios' discovery work justified the rating. Nevertheless, current Senior Responsible Owner's delivery confidence is Amber, due to the revised plan where delivery is scheduled for the end of 2022. The plan was endorsed at the Programme Board in January 2022 and presented to Second Permanent Secretary in February 2022. The plan is progressing well, yet there are some pressured areas that are being tracked, and that includes:  Interim solutions for interfaces with interdependent programmes i.e., Police National Computer, cross government skilled resources on high demand, global supply chain, resource redeployment due to Ukraine crisis, and a Period of Enforced Change Control reintroduced by the Home Secretary. 1st Strategic data centre Testing is also ongoing and ready to go live scheduled for 30/04/22 and this is key to providing platform stability for Border Crossing and then E-passport gates. Existing interim data centre will then be decommissioned and restacked as the 2nd Strategic Data centre. The Termination Assistance required with the Warnings Index's current supplier has been approved and a Red Team review also happened in February 2022 to review new plan, and report is due imminently.Digital Services at the Border has made good progress despite unforeseen additional scope and acceleration of a major workstream, the new digital checking system was rolled out on time to all 56 air, maritime and juxtaposed ports in scope and testing of the first strategic data centre is underway and on track for the scheduled go live date of 30th April 2022.  

Work to end reliance on the Warnings Index (WI) is proving more complex than originally anticipated and some features will require the development of an interim solution due to misalignment of timings on delivery by partners. Providing these interim solutions was the surest way to mitigate delays of work that will transition into the Future Borders Immigration System (Digitise) programme of work, consequently ending reliance on the Warnings Index will not be completed until December 2022. 

In anticipation of this a period of Termination Assistance has been agreed with the incumbent supplier of the WI to enable the provision of service and subsequent decommissioning of the WI as part of the supplier's contractual obligations. Digital Services at the Border has made good progress despite unforeseen additional scope and acceleration of a major workstream, the new digital checking system was rolled out on time to all 56 air, maritime and juxtaposed ports in scope and testing of the first strategic data centre is underway and on track for the scheduled go live date of 30th April 2022.  

Work to end reliance on the Warnings Index (WI) is proving more complex than originally anticipated and some features will require the development of an interim solution due to misalignment of timings on delivery by partners. Providing these interim solutions was the surest way to mitigate delays of work that will transition into the Future Borders Immigration System (Digitise) programme of work, consequently ending reliance on the Warnings Index will not be completed until December 2022. 

In anticipation of this a period of Termination Assistance has been agreed with the incumbent supplier of the WI to enable the provision of service and subsequent decommissioning of the WI as part of the supplier's contractual obligations.",,,"Compared to 2021-Q4, your project end-date increased from 31 MAR 2022  to 30 APR 2023 . This is primarily due to the following factors: Despite good progress being made during the period the programme has been affected by several factors:

.	Unexpected complexities in part created by external dependencies that are not going to be ready in time.
.	The additional scope Passenger Locator Form  and acceleration of a major workstream.
.	The implementation of a Period of Enforced Change Control that was implemented across the Home Office at the request of the Home Secretary following some high-profile system outages. 
.	Recruitment of resources with the requisite technical skills.
.	Shortages in global supply chains.",98.92,97.66,596.0,The budget variance is inferior or equal to 5%. Not required as variance is not more than 5%.,"Compared to 2021-Q4,the projects Baseline Whole Life Cost remained at 596.00 (Łm). This is primarily due to the following factors: With 21/22 expenditure close to budget and forecast, the expected Whole Life Costs have not been significantly impacted by financial performance. The programme is now expected to proceed into 22/23 as planned, utilising the new financial year's budget stated in the Reset business case.",2022.0,ICT,HO_0031_1415-Q1,,
295,DREADNOUGHT,MOD,Amber,"To deliver a four Boat Dreadnought SSBN Class within the approved performance, cost and time parameters, and contribute to the sustainment of the UK submarine design and manufacturing capability for Dreadnought and beyond. 

The scope of the programme covers the design, development and manufacture of four Dreadnought SSBN Class submarines, and other costs related to bringing this capability on line, in response to the requirement detailed in the Government White Paper 2006: The Future of the UK's Nuclear Deterrent. 

The requirement for a class of SSBNs (Dreadnought) to replace the current Vanguard Class was re-endorsed in SDSR 15 and in the 2021 Integrated Review of Security, Defence, Development and Foreign Policy.","Compared to financial year 20/21-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating remained at Amber. This is primarily due to the following factors:
The Dreadnought submarine programme remains on track for the First of Class, HMS Dreadnought, to enter service in the early 2030s. Staged investments have delivered good progress on the whole boat design, production and supporting infrastructure development.",,,Exempt under Section 24 of the Freedom of Information Act 2000.,,,,Exempt under Section 24 of the Freedom of Information Act 2000.,Exempt under Section 24 of the Freedom of Information Act 2000.,2022.0,Military Capability,MOD_0080_1213-Q1,,
296,E7 Wedgetail,MOD,Amber,"The E-7 Wedgetail programme will provide a 5th generation Airborne Early Warning and Control capability, with a Multi-role Electronically Scanned Array radar, that is interoperable and interchangeable with key allies to an anticipated Out-of-Service date of at least 2042.","Compared to financial year 20/21-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating increased from Amber/Red to Amber. This is primarily due to the following factors:
The removal of the incremental Amber/Red and Amber/Green assessment ratings. 
The Defence in a Competitive Age Command Paper (CP411) published in March 2021 confirmed that the RAF would procure three aircraft and move the main operating base to RAF Lossiemouth.  It has therefore been necessary to renegotiate terms with Boeing Defence (UK).",,,"Compared to 2021-Q4, the project end-date increased from 30 June 26 to 1 June 27 This is primarily due to the following factors:
Correction of published position in March 21. The programme continues to forecast an end date of 30 June 26. Work continues to finalise the programme schedule following the 2020 Integrated Defence Review decision.",408.72,446.69,,The budget variance exceeds 5%.The reason for this was the bring forward of costs from future years.,"Compared to 2021-Q4, the projects Baseline Whole Life Cost has reduced by Ł351M (Ł2245.674M at Q4 20/21 and Ł1895.153M at Q4 21/22). This is primarily due to the following factors: The Defence in a Competitive Age Command Paper (CP411) published in March 2021 confirmed that the RAF would procure three aircraft.",2022.0,Military Capability,MOD_0120_2021-Q2,,
297,East Coast Digital Programme,DFT,Amber,The East Coast Digital Programme will deliver improvements in railway operation through the introduction of European Train Control System technology on the East Coast Main Line. This digital signalling technology will replace expired conventional signalling infrastructure between Kings Cross and Stoke Tunnel south of Grantham. Digital signalling has a lower whole-life cost than conventional signalling and offers performance and capacity benefits to users not available through conventional line-side signalling.,"Compared to financial year 20/21-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 21/22-Q4 remained at Amber. Concerns still remain on issues related to fitment of European Train Control System (ETCS) technology on-board freight rolling stock and the development of the Rail Innovation & Development Centre (RIDC). Both are innovative and complex engineering challenges for the programme to overcome, resulting in the Amber rating. In the last quarter inflation risk to the programme has rapidly increased. The Programme is working with colleagues across DfT and Network Rail to develop a consistent approach to managing inflation risk, in recognition that it is not unique to the East Coast Digital Programme (ECDP). Following the Programme receiving a GREEN rating from the IPA at its Gateway 3 Review in October 2021 the Programme has addressed several recommendations and concerns in the report. This includes increasing resource levels on the Programme to fill all vacancies and the confirmation of freight commercial agreements with suppliers.",,,"Compared to 2021-Q4, your project end-date increased from 31 DEC 2029  to 14 OCT 2030 . This is primarily due to the following factors: The 2021 Q4 project end-date was taken from the Programme's OBC. Since that time the Programme has developed and had its FBC approved in March 2022. The new project end date is at P80 confidence level and based on a greater understanding of Programme actions and requirements than at OBC. This is the project end date agreed in our Client Remit Letter with Network Rail.",109.9,109.9,,The GMPP project did not provide data,"Compared to2021-Q4, the projects Baseline Whole Life Cost increased from 2403.29 (Łm) to 3476.66 (Łm). This is primarily due to the following factors: The 2021 Q4 baseline whole life cost was based on a range of figures given at OBC. The figures this quarter are FBC figures, but remain within the range given at OBC (Ł2.98-3.4bn). The FBC figures are more mature and reflect greater certainty of Programme costs compared to the OBC, with costs being based on contract values or quotes from industry.",2022.0,Infrastructure and Construction,DFT_0038_1920-Q4,,
298,East Coast Mainline Programme,DFT,Amber,The East Coast Main Line Enhancement Programme is a collection of track and power upgrade schemes between London King's Cross and Edinburgh to increase capacity and reduce journey times.  The Programme has enabled the East Coast franchise to introduce a new fleet of Intercity Express trains.,"Compared to financial year 20/21-Q4, the Delivery Confidence Assessment rating at 21/22-Q4 remained at Amber. Although the majority of the necessary infrastructure upgrades have now been completed, the Programme's Amber rating reflects the challenging schedule for finalising the new East Coast Main Line timetable, led by the Department's Passenger Services team, and securing the necessary approvals ahead of the planned introduction in May 2023.  The decision to defer the introduction of the new timetable from May 2022 was taken, in part, to give the Department, Network Rail and the train operating companies time to address the feedback received from the public consultation on the proposed changes that was carried out in 2021.",,,"Compared to 2021-Q4, your project end-date remained scheduled to finish on 01 DEC  2024  . This is primarily due to the following factors: The power supply upgrades remain forecast to be completed in 2024 but, with power draw mitigations in place, the rail industry is planning to introduce a new East Coast Main Line timetable in May 2023 to increase the number of passenger services and reduce journey times.   There are a number of risks to the achievement of this milestone, including completing the development of the timetable and delivering two essential, but small-scale, infrastructure upgrades before the change.",137.5,104.14,,The Programme underspent its 2021/22 budget by 24% primarily because of delays to the power supply upgrades and a proportion of those costs moving into later years.  The delays were principally due to the redesign work needed to satisfy a change in interface requirements from the electricity Distribution Network Operators and archaeological discoveries at a worksite near Marshall Meadows.,"Compared to 2021-Q4,the projects Baseline Whole Life Cost remained at 1040.40 (Łm). This is primarily due to the following factors: The baseline whole life cost for the project has not changed and forecast costs remain within the funding range agreed with HM Treasury for the delivery of the Programme.",2022.0,Infrastructure and Construction,DFT_0033_1819-Q1,,
299,East West Rail Configuration State 1,DFT,Amber,"The East West Rail (EWR) scheme will create a rail link from Oxford to Cambridge, and is a key part of the government's ambition for the Oxford to Cambridge Arc. EWR is being delivered as a single integrated programme, structured around the phased introduction of services (Connection Stages).  East West Rail Connection Stage 1 (CS1) delivers services between Oxford and Bletchley/Milton Keynes.

CS1 will re-construct and upgrade a partly disused railway between Bicester and Bletchley. This will allow for the introduction of new passenger services, improving connectivity and journey times along the corridor to support transport and economic growth needs.","Compared to financial year 20/21-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 21/22-Q4 remained at Amber. The project is progressing well and is largely on budget and schedule to deliver services by 2025. Infrastructure works have progressed well, such as those at Bletchley Flyover, and the project has made headway mitigating certain delivery risks. However, challenges still remain, including delivery integration with High Speed 2, which has the potential to impact entry into service and are being monitored and assessed closely. Operational readiness planning is a priority focus for the project.",,,"Compared to 2021-Q4, your project end-date remained scheduled to finish on 01 SEP 2025. This is primarily due to the following factors: Overall the schedule remains ambitious, but achievable. Good progress has been made against important infrastructure milestones, including at Bletchley Flyover and Winslow Station. There is now increasing focus on ensuring operational readiness, for entry into service by 2025. Timetable development and progression of the operating model are important areas for progression.",330.87,264.98,,"The budget variance exceeds 5%. There were slight delays following the production of the baseline for the business case. Additionally, over the past 12 months there has been updated planning assumptions which have changed the profile of project spend. Certain risk forecasts are now being realised in FY2022/23, and variance is also driven by some minor delays to earthworks and structures.","Compared to 2021-Q4, the projects Baseline Whole Life Cost decreased from 1359.50 (Łm) to 1353.13 (Łm). This is primarily due to the following factors: The whole life costs for the project have been adjusted slightly to align with the approved business case. These figures represent scheme delivery costs, rather than whole life costs. Project spend largely represents the capital expenditure to deliver infrastructure, through the East West Rail Alliance.",2022.0,Infrastructure and Construction,DFT_0046_2021-Q2,,
300,East West Rail Connection Stage 2 & 3,DFT,Red,"The East West Rail (EWR) scheme will create a rail link from Oxford to Cambridge. The project is structured around the phased introduction of services (Connection Stages). East West Rail Connection Stage 2 (CS2) predominantly upgrade existing infrastructure (between Bletchley and Bedford) to allow services between Oxford and Bedford. East West Rail CS3 involves building a new line, between Bedford and Cambridge, to extend the railway and facilitate services from Oxford to Cambridge.","The Infrastructure Project Authority's Delivery Confidence Assessment rating at 21/22-Q4 is Red. With the project in the concept and design phase, work continues to refine delivery strategies and the scope and to agree an affordable funding profile with HMT. A non-statutory consultation was completed in June 2021, and funding was gained as part of the 2021 Spending Review for further development work. Currently (Q4 FY 21/22) delivery approaches for this project are being reviewed. This is normal for a large complex project to ensure the business case remains viable. However, this does bring with it a degree of uncertainty over future plans, the scope, and how this project best delivers its intended benefits. The project RAG rating is therefore a natural reflection of this current uncertainty around the project's costs, schedule and scope.",,,"This project is still in the concept and design stage. There remains a degree of uncertainty around the overall project schedule, until further work has been completed to refine delivery options and the project's scope and a funding profile agreed with HMT. More detailed information will be provided in subsequent iterations of the IPA's annual report and via project led public engagement in due course.",88.36,74.64,,The budget variance exceeds 5%. The variance is largely driven by slight delays to the procurement and onboarding of delivery partners as well as lower capital spend than originally forecast.,"This project is still in the concept and design stage with important scope decisions yet to be made. The cost range is estimated at Ł4-7bn. More detailed information will be provided in subsequent iterations of the IPA's annual report, and the funding required will be determined via business case processes.",2022.0,Infrastructure and Construction,DFT_0052_2122-Q1,,
