,project_name,department,colour_rating,description_aims,rating_comment,start_date,end_date,schedule_comment,yearly_budget,yearly_forecast,wlc_baseline_incl_NCG,variance_comment,budget_comment,year
11,New Civil Service 2015 Pension Scheme Implementation,CO,Amber/Red,To manage the successful delivery of the new pension arrangements against published timetables.,"The Project was due to close on 30/06/15 but at that stage it was Amber/Red due to the number of outstanding interfaces so the Programme Board advised the SRO not to close it at that stage. The Programme was extended to the 31st December 2015. There are now only 3 employers with more than 1000 members to migrate but overall 98.49% of alpha membership has successfully loaded against 80% in September 2015. The swing from 80% to 98.49% was mainly due to the receipt of the CGI files.There is a plan and dates for actioning the outstanding interfaces and as result the on 14 January 2016 the Programme Board was happy to recommend to the SRO that the Programme be closed, with the caveat that the scrutiny and oversight of the remaining interfaces is not taken away and will be continued in Business As Usual (BAU) ",15/04/2013,31/12/2015,The Pensions 2015 Programme was formally closed on the 14th January 2016,Ł1.70,Ł3.50,Ł14.90,The increased cost in year (15/16) was due to approved scope changes including additional funcationality for  operational managers (Prison Governors); additional systems enhancements around effective pension age; and additional support for the Employer Engagement.,Initial WLC was budgeted to be Ł13.4m following scope changes WLC on project closure was Ł14.9m. ,2016
12,National Cyber Security Programme,CO,Green,"The NCSP was put in place as a consequence of the 2010 SDSR, with a budget of Ł650 million over 4 years.  Its aim is to deliver a transformative programme to give the UK a strategic advantage in cyber security and resilience.  The programme is managed by OCSIA in the Cabinet Office. The 2013 Spending Review allocated an additional Ł210m to continue the programme throughout 2015/16",The Programme is on track to deliver against all overarching benefits identified in the National Cyber Security Strategy.  Benenfit realisation continues to be monitored across all delivery partners to ensure the best return against programme investment,01/04/2011,01/04/2016,The Programme is on track to deliver against all overarching benefits identified in the National Cyber Security Strategy.  Benefit realisation continues to be monitored across all delivery partners to ensure the best return against programme investment,Ł212.00,Ł212.00,Ł860.00,The Programme is currently forecasting a full spend for 2015/16,The programme remains on course for a full spend in its final year,2016
13,Electoral Registration Transformation Programme,CO,Amber/Green,"The Electoral Registration Transformation Programme was set up to deliver Individual Electoral Registration (IER) in England, Wales and Scotland ahead of the 2015 General Election.  Instead of one person filling in the annual registration form and including details for everyone in the household, individuals are expected to complete their own details and give supporting information, i.e. a national  insurance number and date of birth.  At the same time as the move to IER, online registration was made available to make it faster and more accessible.  The programme aims to tackle electoral fraud and improve the integrity and completeness of the electoral register.  ","ERTP's delivery confidence remains positive.  A Planned Closure / Exit review was conducted by the IPA in January 2016 to ascertain if the programme can officially close by the end of March 2016.  Following a positive review the programme is now working to close to this timetable, after having successfully delivered Individual Electoral Registration nationwide.",01/02/2010,31/03/2016,No deviation to schedule,Ł37.41,Ł37.41,Ł129.40,Budget variance less than 5%.,Budget forecasts to date are accurate and the funding has been sufficient throughout the lifetime of the programme.,2016
14,Government Office Hubs Programme ,CO,Amber/Red,"The Hubs programme will consolidate the office estate by creating a network of large, cross-government strategic hubs and supporting estate.       ","The programme will deliver a massive reduction in the scale of the civil service office estate moving from around 800 to about 200 buildings. We are working closely with all government departments to understand and respond to their business transformation plans and workforce strategies.

Industry experts have been secured to help ensure that the best deal for government is secured. The full programme team is not yet in place. Work is therefore focussed on priority locations. Programme funding was agreed as part of the spending settlement.

Programme team capacity/capability remains a programme risk. Other key risks  include disclosure of commercially sensitive information and major lease/PFI events.

",01/05/2015,31/12/2023,The programme plan is being re-baselined,Ł7.00,Ł7.00,Ł42.00,Progress of departmental approval and recruitment processes will influence how much of 15-16 budget is spent in 15-16.  ,Project costs include costs of change and cost of running the Hubs programme over 5 years,2016
15,ICT Restructure Programme,CPS,Amber,"Most major ICT contracts for the department were due to expire in at the end of November 2015.  This programme is to provide for continuity of operations for ICT services for the CPS beyond Nov 2015. Some of the services provided through the main PFI contract with CGI have been extended to end of Mar 2017. 

The contracts for Print Services and the Networks and Telephony Services have been removed from the PFI deal and have been procured through relevant frameworks with contracts commencing on 1 Dec 2015 and services transitioning from then to 1 Jun 2016. 

Having completed the necessary procurements, this programme will manage all service transitions. ","The CPS successfully implemented the new contracts with CGI, Xerox (Print) and Level 3 (PSN S and PSN C) on 1st December 2015, without disruption to service and at new, reduced pricing. The remaining activity for the programme and the CPS is to implement the technical changes proposed by the suppliers to ensure full cost savings can be realised. In preparation for the implementation of new technologies the programme has been working with suppliers to develop and agree rollout plans for the new technologies planned to commence in February 2016.

The major risk to the CPS and the programme is disruption to services.  There are some new technologies to be rolled out and this continues to give rise to some programme risk.  The roll out will take place in a planned and controlled manner with governance and change control in place minimising disruption to service.  Whilst the risk of service disruption is low, the consequences would be severe; thus leading to the RAG rating remains at Amber.
",01/10/2013,01/05/2016,"The CPS successfully implemented the new contracts with CGI, Xerox (Print) and Level 3 (PSN S and PSN C) on 1st December 2015 to plan. The remaining activity for the programme and the CPS is to implement the technical changes proposed by the suppliers to ensure full cost savings can be realised. 

Issues have been identified with the PSN rollout plans which have pushed out the completion date. This will not impact the business continuity and will have only minor impact on the benefit realisation as much of the new pricing starts from 1/1/16. The PSN S transition is dependent on the completion of the PSN C project for it to complete.  

The rollout plan has also been pushed back for the implementation of the new Print service. The delay will not impact the business continuity and any delayed benefit realisation is more than compensated for by reduced volumes.",Ł27.57,Ł27.80,Ł144.30,Budget variance less than 5%.,"Budgeted whole life costs for the programme have increased by 0.07% to Ł144.30 million, this is due to the additional costs as a result of the minor delays to the rollout of the MFDs.",2016
16,Super-Connected City Programme,DCMS,Green,"150 million central Government investment has been allocated to SCCP to provide: - A minimum of 10,000 vouchers to  Small/Medium Enterprises (SMEs) across 22 cities - Wi-Fi in up to 1,000 public buildings - Other digital connectivity projects to increase broadband capability through delivering innovative projects to SME business hubs and internet exchanges.

Ł40 million was announced at Autumn Statement 2014 to extend the connection voucher scheme to a further 28 cities to March 2016.",Programme is Green and has met its planned objectives.,05/12/2012,31/03/2016,"The Super connected Cities Programme has delivered:
- Over 17,000 vouchers under the original connection vouchers scheme in 22 cities up to 31 March 2015 versus a target of 10,000 vouchers;
- WiFi in over 1300 public buildings; and
- WiFi in over 1,400 transport projects
- 12 other connectivity projects delivered, including Cloud Computing Centre in Newcastle and Digital Exchange in Brighton, supporting local businesses.

The extended voucher scheme provided a Ł40m challenge fund to issue more vouchers in an additional 28 cities (50 cities in total) from April 2015. This has provided over 30,000 additional vouchers.

In total over 50,000 vouchers have been issued under the scheme, exceeding all expectations. The Ł40m challenge fund has now been exhausted.",Ł42.27,Ł61.67,Ł154.60,"This data was correct as at Q2 2015/16.

1.       The  original 22 Cities scheme has 15,807 vouchers issued net of cancellations to date with a value of Ł26.7m.
2.       Ł14.5m is the forecast for the final total value of voucher claims for 2015/16 in respect of the 22 Cities scheme but is dependent on the value of vouchers that do not connect by the deadline (cut-off point). A further Ł4.9m will be spent on non-voucher projects.  
3.       The extended scheme includes 28 additional cities and is in the form of a Ł40m challenge fund, which each city can claim against as required. The Ł40m challenge fund has now been allocated (October 2015).
4.        BDUK has revised the accounting policy used to recognise expenditure, changing the recognition point to be the issue of vouchers, which was agreed with the NAO in October 2015. 
5.       With HMT approval Ł40m has been vired from prior years budgets in 2015/16 to cover the voucher scheme extension. A further virement as part of the supplementary exercise has been agreed with HMT to cover funding commitments on the old scheme, the final value will be confirmed in December. The CDEL spend forecast for 2015/16 is Ł59.4m.       
5.       Current RDEL budgets end in 15/16, the 16/17 forecast reflect the funding applied for in the spending review which assumes that staff will roll off by December 2016.","The scheme is on track to deliver its objectives within budget.  With HMT approval Ł40m has been vired from prior years budgets in 2015/16 to cover the voucher scheme extension. A further virement as part of the supplementary exercise has been agreed with HMT to cover funding commitments on the old scheme, the final value will be confirmed in December 2015.",2016
17,Broadband Delivery Programme,DCMS,Amber/Green,"Phase 1:  Delivering superfast broadband (24Mbs+) to 90% of UK premises by early 2016 and delivering universal standard broadband (2Mbps).  BDUK investment of Ł530m and total public subsidy of Ł1.2billion to cover 4.1million superfast premises, delivered through 44 projects, and a small number of joint Rural Community Broadband Projects with DEFRA. Phase 2:  Delivering superfast broadband (24Mbs+) to 95% of UK premises by December 2017, following Phase 1.   BDUK investment of Ł250m, seeking to match with a further Ł250m of local/European funding, to cover 1 million premises.",Programme is Amber/Green and is on track to meet its objectives.,06/12/2010,31/12/2017,"The SRO has given the programme a rating of Amber/Green.  Phase 1 and 2 have both been rated at Amber/Green individually - key milestones are being met as planned.

Phase 1 of the Superfast Broadband Programme is progressing well. It is on track for superfast broadband coverage to reach 90% of premises by 2016.

44 of the 47 Phase 2 contracts were signed by the end of June 2015 and some of these are in delivery. The remaining contracts - two Scottish projects and Devon & Somerset will commence procurement within the next six months and are dependent on State Aid prior to contract signature.  

The Universal Service Commitment to provide access to basic broadband of 2MBs per second via satellite technology with superfast capable speeds launched at the end of September 2015 via a phased approach in West Yorkshire and Suffolk.  BDUK are on track for the pilot to be extended nationwide by the end of December 2015.",Ł250.00,Ł164.06,"Ł1,910.11","This data was correct as at Q2 2015/16.

1. Quarter 2 forecasts in 15/16 are based on supplier Milestone Payment Tables; they have been adjusted to factor in Phase 2 acceleration and to take account of those projects where efficiencies in delivery have led to BDUK grant funding covering further delivery and the coverage of more premises. 
2. As a result, Ł8.8m of funding has been brought forward into financial year 15/16. The profile for future years continues to be based on modelling.
3. Current RDEL budgets end in 15/16.","1. Whole life costs cover Government funding only for Phase 1 and Phase 2. Other sources of funding, including local authority and supplier investment are not included.
2. Ł6.9m has been profiled from Phase 1 into 16/17 for the implementation of the Universal Service commitment.
3. Ł10m announced by the Chancellor has been included in anticipation of the Ultrafast South West projects. (Ł5m in 16/17 and Ł5m 17/18)",2016
18,Mobile Infrastructure Project,DCMS,Amber,"The Government's Mobile Infrastructure Project aims to provide mobile voice coverage to areas of the UK that  have not been covered by the commercial sector by building new mobile masts.  The Mobile Infrastructure Project will bring voice and data services to some of the most remote parts of the UK for the first time.  The project was extended in 2014 by a further year and is due to end in March 2016.DCMS have partnered with Arqiva and 4 Mobile Network Operators (MNOs) to identify areas of no coverage and build mobile phone infrastructure.  The project is addressing complete ""Not Spots"" and not ""Partial Not Spots"" for state aid reasons.  Not Spots are defined as areas devoid of network coverage from all mobile providers.",Programme is Amber and is scheduled to complete at end of March 2016.,01/10/2011,31/03/2016,"Contract signed with Arqiva 10 May 2013. The project is due to complete in March 2016.  BDUK estimate that the Mobile Infrastructure Project will deliver between 40 and 60 masts covering around 6,000-7,000 premises and have a high confidence level on delivery.",Ł28.47,Ł28.07,Ł43.97,Budget variance less than 5%.,"1.  The 2015/16 CDEL forecasts have been amended since the Q1 return due to continued re-forecasting.  As the pipeline is delivered this will be revised based on actuals.  
2.   The 2015/16 forecast is based on 70 masts being delivered by March 2016.  This is the maximum likely to be achieved.
3.  Retention payments in 2016/17 will be up to Ł1.2m.  Ł0.5m for force majeure and slippage into 2016/17 has also been included.  
4. Current RDEL budgets end in 15/16, the 16/17 forecast reflect the funding applied for in the spending review which assumes that staff will roll off over the course of 16/17.
5. Original budget allocation of Ł150m.",2016
19,The Tate Modern Project,DCMS,Amber,"The New Tate Modern will provide London with a unique public space for a rich collection of international art, combined with educational initiatives for diverse audience groups.  The New Tate Modern will significantly enhance the UK's reputation as a major cultural force in the world. ",Data not provided by department,01/01/2010,31/12/2016,Data not provided by department,Ł43.50,Ł43.50,Ł255.50,Budget variance less than 5%.,Data not provided by department,2016
20,FID Enabling for Hinkley Point C,DECC,Exempt under Section 43(2) of Freedom of Information Act 2000,"Primary objective is to agree a contract to enable the construction and operation of a new nuclear power plant that achieves a fair deal, represents good value for money, is affordable and is compatible with State aid rules. Secondary objective is to fully explore and understand the issues around a CfD for HPC and make a recommendation to ministers based on this.",Data not provided,01/09/2011,01/06/2016,"Start date represents start of project following the EMR White Paper of July 2011. End date represents the expected conclusion of the project following award of contract and transition of contract management to the Counterparty body.

End date estimated as being in 2016",Ł2.30,Ł5.90,"Ł36,963.64","Project costs relate to the project team and external technical, legal and financial advisers. In Q1 2015/16 an overspend was forecast against the 2015/16 budget due to changes to the project timetable. Additional budget was sought in DECC's mid year review.","The Whole Life Costs (WLC) for this project are determined by the difference between the Strike Price for Hinkley Point C and the long-term Wholesale Electricity Price forecasts, which are influenced by market prices for fossil fuels.  Therefore, we would expect the WLC to vary year on year to reflect changes in the market.  From 2014 to 2015, DECCs projections of wholesale electricity prices fell, reflecting underlying low fossil fuel prices and a subsequent reduction in DECCs gas and coal projections.  This resulted in an increase in the whole life costs for Hinkley Point C.
Wholesale prices are volatile and sensitive to a number of uncertain factors including, for example, future global gas price trends, carbon prices, coal prices, the level of intermittent generators in the system and demand trends.  Whereas the strike price agreed for Hinkley Point C is fixed and has been set following extensive negotiations with EDF and with advice from independent expert advisors.  Hinkley Point C alone will generate 7% of reliable low carbon electricity for the UK; enough to power 6 million homes for 65 years.",2016
21,Sellafield Model Change  (SMC),DECC,Amber,"Changing the model for engaging the private sector at the Sellafield Site from the current Parent Body Organisation model to a new Market Enhanced Site Licenced Company in which Sellafield is a subsidiary of the NDA characterised by public sector retention of the uncertainties intrinsically associated with Sellafield. Intended outcomes include faster progress in decommissioning, reducing the time at risk of older facilities and a more efficient delivery of the Sellafield Lifetime Plan.     ",The programme continues to make good progress and remains on track to successfully deliver share transfer on 1st April 2016 and to create the new environment for success.  There has been no deviation to the schedule.  Key risks continue to be mitigated /retired and no risks have become issues.  Actions arising from the DCA receive focussed attention and are either closed out or mitigations are underway.  Budgets remain on track.  ,13/01/2015,24/05/2017,2015/16 milestones delivered to schedule,"Ł2,217.25","Ł2,217.25","Ł29,975.00",Budget variance less than 5%.,These costs are those that will be incurred over the period which the benefits from the Sellefield Model Change were expected to accrue in the Outline Business Case.,2016
22,Magnox & RSRL PBO Competition,DECC,Amber/Green,"The objective of the procurement (competition) is the delivery of a series of outputs largely based on the extant baselines of Magnox and Research Sites Restoration Ltd (RSRL) at 10% lower cost [currently defined as outcomes of the Magnox Optimised Decommissioning Plan and Optimised RSRL Baseline]. 
The performance obligations associated with delivery of this objective are embodied within a Client Specification which forms the basis of the Site Licence Company Agreement and Parent Body Agreement.  
","Following the application of competitive tension via the competition process and share transfer to a new Parent Body, a target cost incentivised contract arrangement is in place for delivery of the performance obligations in the contract over a period of 14 years, envisaged in two phases each of circa seven years. The target cost as bid is Ł2.4bn for phase 1 (nominally seven years) and Ł1.4bn for phase 2 (nominally seven years).   Currently the project is focussed on ""Consolidation"" of the successful bidders commitments into the Site Licence Company's Lifetime Performance Plan. The Licence Agreement anticipates some change to the Target Cost during the Consolidation phase but the full extent of the change will only be known on completion of Consolidation which is forecast to be April 2016. A key enabler to achieving a lower cost for delivering the programme is the NDA's ability to put in place funding to match the programme established by the contractor in the updated Lifetime Performance Plan. Should the updated Plan prove unaffordable a further iteration may be required.",03/04/2012,01/09/2028,"The date for completing the current Consolidation Phase has been extended to accomodate addtional scope compared to the March 2013 postion which was the basis for the bid.  However, this will not impact on the project end date.  ",Ł674.00,Ł549.00,"Ł3,860.00","The Budget values reflect the estimated cost for Phase 1 work only under the previous Parent Body Organisation on a cost re-imbursable arrangement for Magnox.  The forecast values reported here reflect the reduced Target Cost (price) for the same work under the new contract, now that the competition has been concluded and share transfer completed, with amendments for the new consolidation time frames.  ","Whole life cost cover the Phase 1 costs only of decommissioning the ten Magnox and two RSRL sites and taking them into their Care and Maintenance states. They also cover the costs of processing and managing the resultant radioactive and non radioactive wastes arising from decommissioning activities for Phase 1 only. Finally the whole life cost addresses the establishment of a ""Regionalised approach"" to carry out surveillance and, if required, maintenance ops on the sites after they enter Care and Maintenance.",2016
23,Smart Meters Implementation Programme,DECC,Amber,"By the end of 2020 every household and small business will have been offered Smart electricity and gas meters. Smart Meters will give consumers up-to-date information about how much gas and/or electricity they have used in pounds and pence, as well as units of energy.  Smart meters will have benefits for consumers, suppliers and energy networks. Consumers will have near real-time information about their energy use, enabling them to monitor and manage their energy consumption, save money and reduce carbon emissions.  Switching between suppliers will also be made simpler and faster. Energy suppliers will have access to accurate data for billing and will be able to offer a wider range of services and tariffs.  Energy networks will have better information to manage and plan current activities and support the move towards the development of a smart grid.","A MPA Gate 0 Review in March 2015 assessed the Programme as Amber.  This reflected the good progress made since the last Gate Review in 2014, but acknowledged that there remained a number of areas requiring close management attention by the DECC programme team. Action is underway or complete against all recommendations.
The Programme needs to continue to work closely with multiple cross-industry delivery partners to ensure Programme success.",02/12/2009,31/12/2020,"On schedule for 2020.
(The Data and Communications Company (DCC) has drawn on some planned contingency.  The DCC Live date remains August 2016.) ",Ł12.00,Ł12.00,"Ł19,261.09",Budget variance less than 5%.,"The total budgeted whole life costs figure in this return is presented in undiscounted nominal terms for comparability with other programmes. The figure differs to the total cost figure in the January 2014 Smart Meters Implementation Programme Impact Assessment which is expressed in 2011 real prices and discounted to present values (in line with HM Treasury appraisal guidance); the total cost figure in the 2014 IA is Ł10,927m, which is expected to generate a total benefit of Ł17,141m, resulting in a net present value benefit of Ł6,214m.",2016
